,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.2958893452297975,0.7192027279087654,-1.2813407459316448,0.06266697267608222,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_LongRunEmphasis,0.5930763022801282,0.3560347903943425,0.7361995038917968,0.26403438042712674,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelNonUniformity,0.29589658492171284,0.7417133412038037,-1.3257686731930511,0.0370385690809321,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunLowGrayLevelEmphasis,0.3435635715175576,0.6471019451931066,-0.9134159401821231,0.18844056104737383,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunEmphasis,0.386622894353434,0.6889475446026054,-0.8334670714964587,0.16543651098432366,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_Idmn,0.6652111464123749,0.4264872299453913,0.6413097984904514,0.2484640121530748,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_Idn,0.660868783198306,0.4376841542464064,0.5944736960878773,0.24437632399047693,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_RunPercentage,0.34875359539789086,0.5994247363374867,-0.7813705303166519,0.24634861208668196,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformityNormalized,0.3614956065922996,0.6577445920953995,-0.8635493681528754,0.17863982518927254,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_InverseVariance,0.35153382116608234,0.7088638131062078,-1.0118449854959488,0.1095102682725664,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_JointAverage,0.5251426663814746,0.2731225449746205,0.9431610087164015,0.2783424450151163,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformity,0.33529793813890585,0.6057270987072544,-0.853224343846351,0.21831356674737928,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,0.3737694920150962,0.6667763968236192,-0.8350542177835242,0.2329900390308327,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_MCC,0.8299973995233361,0.5505949694919886,0.5921153875201621,0.19245952925409748,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_SumAverage,0.5251426663814747,0.27312254497462085,0.9431610087164,0.27834244501511685,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,0.43808016187004983,0.12824993291797263,1.7722368135617275,0.17632908893664456,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaHighGrayLevelEmphasis,0.599442752259724,0.14496671690987797,2.0479002724408866,0.019979099888347347,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_Autocorrelation,0.5121072699453726,0.25340633097190063,1.014993471458685,0.26037893700446724,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_HighGrayLevelRunEmphasis,0.524828766826906,0.26913355509484493,0.9635245240292616,0.2802427062658616,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Minimum,0.4760115299828691,0.7806770706703484,-0.7137293777716185,0.14390680772105285,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformityNormalized,0.18699202848771213,0.4749192855845991,-1.3447055735258253,0.14762803110725609,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaEmphasis,0.2342051353518464,0.5347596668425292,-1.1911179474378957,0.11993861350124092,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceEmphasis,0.2135176489486292,0.5510031449786826,-1.367705228230443,0.08130721437030719,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_LowGrayLevelEmphasis,0.3774476695899972,0.665293468562649,-0.8177142313167024,0.24156936980904248,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.3986437019451436,0.08396191620821186,2.247292878758971,0.17415957916217148,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_HighGrayLevelEmphasis,0.5104489680237405,0.2588043079590545,0.9799051032373155,0.2753762383372155,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_ZonePercentage,0.21296296296296297,0.5481481481481483,-1.3639633146845749,0.09955178577058206,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformity,0.0882497697559681,0.4156430556450143,-2.235680688415439,0.11700019805858371,0.8807627911212794,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_LargeDependenceEmphasis,0.6753869572831488,0.4412996915118613,0.6139555802422034,0.29244660498533614,0.887424180645158,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_LargeAreaEmphasis,0.3923437104642794,0.17969922831174617,1.126533859557727,0.3376937752502198,0.9286578819381045,l_amygdala,male_P45_nrxn,male_P45_control
