,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_glcm_Contrast,0.2771515656229485,0.7396294641161525,-1.4161275401487696,0.014172468626210785,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceAverage,0.3190254555778136,0.7867288844464094,-1.3021950089188326,0.013180235980192976,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceEntropy,0.37436236668624856,0.8311832971942366,-1.1507312500460163,0.018897466970950693,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Id,0.6862213990027481,0.2270330875885646,1.5957715454788433,0.017196639254902318,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idm,0.6809467704762491,0.22951206447274347,1.5689720353817662,0.019281247269189235,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.29759056732740885,0.7753246753246733,-1.3814717822343046,0.017086625598447956,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.3033465212525923,0.7714877100412997,-1.3466764077648226,0.015722078503604832,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.2878049706962368,0.7589787082258848,-1.3989679048473438,0.018215521190737795,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneVariance,0.5645754286246341,0.14447369851911832,1.9663594678177228,0.025194311852439706,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.5992168419838082,0.19950513772171058,1.586652274023291,0.03158229352907071,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZonePercentage,0.2757352941176472,0.7676470588235296,-1.477159211186641,0.014205637731310236,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.5861607532778434,0.167081098721556,1.8107478390303693,0.026036618879205293,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.3503573198896397,0.8117868196633745,-1.2122738780787097,0.017154717469709466,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.3616436929075555,0.7654044761840655,-1.08165334692369,0.018049423674424102,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MaximumProbability,0.7200144415512988,0.2687422524058015,1.4218026797052044,0.019763252666533854,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.1485072106074265,0.5616698576185253,-1.9191894005896364,0.032318570497059634,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.21524091101241014,0.6302856448024802,-1.5500534865548892,0.02700121573351668,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.5238057577334365,0.11403210600754503,2.199591842282451,0.03287557966349589,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.6909732144244357,0.26350812311823774,1.3907823493740294,0.025248041155786213,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.14850721060742678,0.5616698576185253,-1.919189400589634,0.03231857049705975,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.6322384227761668,0.1783749887112652,1.8255553758451948,0.01478922941803287,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.6865045494363425,0.20516903218571186,1.7424562912860215,0.015146779772108427,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.24130983975870432,0.659116702145795,-1.4496471843834606,0.02799636057906969,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_90Percentile,0.32283630128066837,0.7262018460226313,-1.1695677861386202,0.027597322967245864,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.2414093434892999,0.6590846567256727,-1.448982270271337,0.027561377230940647,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Entropy,0.36897692676411353,0.8036081925417378,-1.1229616689339004,0.02459804959476319,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.2899671318346896,0.753089436744531,-1.3769318311542285,0.013427093354293684,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.3325861786544528,0.8265720931248115,-1.313412440480717,0.008835421063097195,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.6930796343646618,0.26583154700367845,1.3825088029414243,0.02474750669038888,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.3382835787180701,0.7863239981641978,-1.2168907391346802,0.018478485166818295,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.60753819443865,0.12596978209737086,2.269897411840285,0.01111630059114651,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.7274324096453264,0.22221347872519806,1.7108668758809038,0.019173593321144478,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.7194324837505801,0.22564819691149612,1.6727840509363512,0.01977252978196108,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.6969369013687878,0.326467895132933,1.0940869205575916,0.030653504411563663,0.06888216691399139,l_amygdala,male_P45_nrxn,male_P45_control
