,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.6091452484248255,0.23927959919356612,1.3480888754535376,0.08790990526920985,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.1662563848590973,0.6036301680834042,-1.8602551638376958,0.03652566019460253,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.3111808304674373,0.7744721513931196,-1.3154601738950342,0.04287586628092105,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.2679031747962206,0.7632559622026861,-1.5104552761515715,0.02179114248553711,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.641628504694624,0.2741070862110539,1.2269986105570063,0.11101608409280646,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.6628187019361559,0.2743719098284629,1.2724815237945122,0.06640013327589132,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.6511488239537675,0.26111023854196475,1.3183282885536496,0.062455191062779594,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.15272389404800815,0.4813282721177005,-1.6560953732244938,0.12776620789757817,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Skewness,0.7287639677654194,0.28800811571457496,1.3393421642033647,0.022731042620996143,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.152723894048008,0.48132827211770063,-1.6560953732244956,0.12776620789757792,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.6996738528687785,0.3180797957517268,1.1372938428711445,0.08951990759565016,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.6677801428296839,0.2762213889607409,1.273548156184248,0.06470975875633002,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.7079486518037786,0.3365207505301805,1.0729492570576993,0.10067117834330838,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.1888879479303817,0.5815063873006187,-1.6222643854935452,0.09781634832159466,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.15535638838221016,0.5056827406515203,-1.7026509715086133,0.11306268411943968,0.7495617529991253,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Minimum,0.8661843517837906,0.5617345867699604,0.6247854749962156,0.16968604122889816,0.7848975216045695,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.5823713841112649,0.3029192492074339,0.9430062097317744,0.22298225045584363,0.7848975216045695,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Kurtosis,0.36812903623728066,0.6777078870485649,-0.8804520143735339,0.21969556667610465,0.7848975216045695,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.18765860671506226,0.4773461770836283,-1.346925446219744,0.1913790222780913,0.7848975216045695,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.11916210631620947,0.42282576980105163,-1.8271377766994297,0.16105663254554692,0.7848975216045695,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.5517514744872698,0.2586472942950347,1.0930324803210911,0.22274536645459747,0.7848975216045695,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.12272626035349432,0.40890745527214617,-1.7363303838452684,0.18299596024839074,0.7848975216045695,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Autocorrelation,0.11617595959781057,0.4232486941494201,-1.865194055611086,0.15681732597779596,0.7848975216045695,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.15242562095927392,0.42180396318027996,-1.4684672271198498,0.20203818932264764,0.7848975216045695,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.1211195045232114,0.4211562150028185,-1.7979242474543007,0.16587175518578165,0.7848975216045695,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.15986330760060774,0.4174036428961065,-1.3846043474171008,0.23474561666490817,0.7945236256350737,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Mean,0.5980241787527751,0.35604978486997246,0.7481248343191835,0.24985033501219173,0.8143270178175137,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterShade,0.606769763550573,0.3175075754480802,0.9343581815233165,0.2781547368691912,0.8742006015888866,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceVariance,0.7289112017725052,0.522973653254277,0.47900480449750116,0.31213266055102645,0.9471611768444941,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.3409026931715371,0.4075175220089678,-0.2575020951742989,0.7864471028465383,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.7003228201064462,0.5895003389862173,0.2485274558290149,0.6457921278075054,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.5052535349336738,0.4262397468117955,0.24534237969349645,0.7605937518351282,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.30727196300966897,0.3861286254728881,-0.3295653773811407,0.7470186803189892,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.48596189990828165,0.38512244844724003,0.33552598995342275,0.6487154381760699,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.3569975903233056,0.41886417219590444,-0.2305681513495907,0.7990098218028532,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.47954220999293984,0.3349130065998085,0.5178714036335446,0.5615061738074518,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.5183977667249052,0.49050393056737923,0.079794805781959,0.9173512362005991,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformity,0.2932342335775925,0.22747457407480046,0.36634824310363573,0.7861504932864697,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaEmphasis,0.5035399745112694,0.37419305007635406,0.4283235504485941,0.6097172182318766,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneEntropy,0.34660599509985035,0.5416190288929998,-0.6439818181082716,0.38418126334665537,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZonePercentage,0.4632352941176472,0.5176470588235297,-0.16022360025001878,0.8428622824530676,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneVariance,0.5184088492106598,0.49096960715816246,0.07845662603424275,0.9177720077835165,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.6985872873960615,0.5494080712934839,0.3465622843576122,0.550298543539095,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformity,0.23322743596827056,0.35672678479813735,-0.6130820329437615,0.5709840024782107,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.23322743596827056,0.35672678479813785,-0.6130820329437634,0.570984002478209,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.5404721243082415,0.5331278863285164,0.01973856350153996,0.9737655503678605,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelVariance,0.3900787703654726,0.40308291515456995,-0.04731115191515687,0.9530711139802541,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.7136713163512755,0.6078802827118783,0.23147256522340692,0.6571128070675436,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceEmphasis,0.48576450910198354,0.4841240774753973,0.0048802406010397615,0.9952617812610696,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.3552481942353286,0.4450438784800639,-0.325120267482454,0.6668904879754842,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.31061386520008194,0.38407616488781393,-0.3062702051824577,0.7676690712488614,0.9952617812610696,l_amygdala,male_P45_nrxn,male_P45_control
