,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_Skewness,0.7973949698268352,0.3085362522598024,1.3698544919761981,0.0030802922911995767,0.27106572162556275,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc1,0.8523455638511216,0.49681524158855767,0.7787290224034871,0.06130207300567972,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.7513058292365953,0.39871368555337705,0.9140471702714358,0.12128244429814153,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Imc2,0.21108401682285372,0.5563063980642755,-1.3980623554149976,0.06710519345614185,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Correlation,0.615163916975977,0.15356575319133126,2.002114367658982,0.0310247971776864,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointAverage,0.084470923554117,0.4666130292706276,-2.465699862582842,0.10531560701819938,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.7895660017570751,0.40790970349875544,0.9528100426673523,0.10926765857180071,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_ClusterShade,0.7377995811893694,0.39589950553357495,0.8980947046027024,0.10640679602475268,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.7651354971292983,0.3825663574684631,1.0000052459498359,0.10622274838402299,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Autocorrelation,0.07029569251429862,0.4330544596028337,-2.6230402716956616,0.1177539656660346,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MCC,0.06965488893155813,0.4887015448740225,-2.8106571439592765,0.049524431904829566,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumAverage,0.08447092355411706,0.46661302927062753,-2.4656998625828406,0.10531560701819953,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.11091445892684751,0.5806060986235372,-2.388112276937096,0.06595233388939435,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idn,0.2539392173548176,0.725903197558759,-1.5152939549745348,0.02879551401310959,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idmn,0.22911126713140817,0.753526534567112,-1.717609906959606,0.02144566121416891,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.07529976946214831,0.4325226475565292,-2.522058323416688,0.12457874993142727,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Range,0.13010629718766042,0.4904585193161843,-1.9144403345553258,0.0767271145049701,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Minimum,0.8758454847214114,0.5477729782264744,0.6770982749884238,0.12132731768193088,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Median,0.27982085023375036,0.7012529779386814,-1.3254315265303978,0.0829250198672866,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.07374976983288911,0.4337738763147708,-2.5562327185237708,0.12075157971843162,0.40677900981193416,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
