,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,0.07500491755138111,0.6203719948783041,-3.0480764697187235,0.03877399792240706,0.23678104104615041,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idn,0.14485906940900994,0.7514437627441748,-2.375015126003708,0.014646125632416553,0.23678104104615041,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idmn,0.2160353655534788,0.810999484852087,-1.9084334933736478,0.018607864931975176,0.23678104104615041,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MCC,0.07085541716361965,0.6605378253661571,-3.2206911170987538,0.016010531173972466,0.23678104104615041,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_HighGrayLevelEmphasis,0.06759751450025227,0.6128739059310664,-3.1805481750955127,0.03917243160772982,0.23678104104615041,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.09440458141686489,0.6350203121635142,-2.749873959767482,0.040136460553100294,0.23678104104615041,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.08067034906767967,0.5788044963446481,-2.842965725518989,0.04843248566853077,0.23678104104615041,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.04784609119651106,0.5828740269303899,-3.606711142931284,0.04316703460716682,0.23678104104615041,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Autocorrelation,0.06652202570109605,0.6124925175018222,-3.202788212821258,0.03909543457621388,0.23678104104615041,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.04847150984992331,0.581029030299069,-3.5834013205131083,0.043809363303946566,0.23678104104615041,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumAverage,0.10750520545425388,0.6576517554948382,-2.612917322360954,0.038822409996949955,0.23678104104615041,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointAverage,0.10750520545425382,0.6576517554948382,-2.6129173223609543,0.038822409996949934,0.23678104104615041,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Minimum,0.9191245513482135,0.33851879184228195,1.4410244527360523,0.02493162234844892,0.23678104104615041,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
