,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_glcm_SumAverage,0.7484939022987871,0.010542219745277758,6.149739988645829,0.011249981450861694,0.10767374926174,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointAverage,0.7484939022987862,0.010542219745277137,6.149739988645912,0.011249981450861672,0.10767374926174,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LowGrayLevelEmphasis,0.2719258909555188,0.9810584717658507,-1.85112560300593,0.012377334333380093,0.10767374926174,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.2976780663664716,0.911789382448428,-1.6149476852268607,0.015906349322757047,0.10767374926174,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.6248689841148158,0.026040191994330053,4.584741741878091,0.01521496099890569,0.10767374926174,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.7345626589611433,0.006156255511731068,6.898688638087233,0.01083996156310924,0.10767374926174,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.7321498584186452,0.008660422565889813,6.401557743505368,0.011255155748066771,0.10767374926174,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.6298003019476166,0.02197565788890312,4.840916187822638,0.015302229167375135,0.10767374926174,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.28156960034166134,0.9246200311796956,-1.7153690359564273,0.012747069548444288,0.10767374926174,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.27694015890079343,0.9762204546859783,-1.8176327076629357,0.01230933329428456,0.10767374926174,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis,0.6864915601503891,0.013554573082630172,5.662390404120505,0.010864848732766358,0.10767374926174,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,0.30509053274432874,0.959668196289328,-1.653298270210075,0.013515178764448346,0.10767374926174,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Autocorrelation,0.7473779668893696,0.00936542431560139,6.318349863115893,0.011191355612293568,0.10767374926174,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.30256556094692044,0.8255783043252904,-1.448157273761192,0.01911914472729361,0.1201774811429884,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.2852752940340981,0.8958815888388301,-1.6509532506200706,0.02362001162370952,0.13857073485909588,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.7144037578916722,0.11113630675033778,2.684409466340779,0.026541809571138553,0.14597995264126204,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.6327303347759061,0.080139264351852,2.981009592602908,0.02978096251793581,0.15416027656343242,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.27563228105717474,0.8296108527033633,-1.5896899059795229,0.0401794488320119,0.19643286095650261,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.38326871334144474,0.8599582135070241,-1.1659103249641414,0.04266800730584041,0.19762024436389242,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis,0.6363150704283409,0.19756977603959527,1.6873790284104562,0.06385521642451024,0.2675837640646143,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MaximumProbability,0.523124091010974,0.9142075583563365,-0.8053685358873527,0.061275610952472866,0.2675837640646143,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumEntropy,0.3974370546418735,0.10779393249580486,1.8824504131051176,0.16873480464002247,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumSquares,0.35793078546358875,0.07001963427018816,2.3538492032863934,0.1861632657626186,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.6294667387024244,0.9048801912591117,-0.523596640544092,0.19953861690696226,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceEmphasis,0.5311243794435739,0.18245763760966732,1.541488210049222,0.12003023510485078,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelVariance,0.3487099456063561,0.06383771939823771,2.449546494683101,0.19532605686466764,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_LargeDependenceEmphasis,0.5146101143031581,0.8366651968931256,-0.7011706114396038,0.13346358154483903,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunEmphasis,0.5159082406832154,0.8217733458808878,-0.6716260465564959,0.13460516152802982,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelVariance,0.34575059889542636,0.05901149678751514,2.5506637934387544,0.19339438730901873,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.5102027463884814,0.22841654246145535,1.159403527054448,0.16099240186916755,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SizeZoneNonUniformity,0.6215743023376152,0.30948112120832655,1.0060754541726453,0.10632390201757823,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformity,0.4091783249551222,0.10476862800153945,1.9655229446565436,0.16190525248731547,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.4063552798549863,0.09637798227837831,2.0759661366474464,0.1538587852058762,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunPercentage,0.4359163229228056,0.13470830878020087,1.694212387866802,0.15994166081340977,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunVariance,0.46832958915498313,0.7644280661003019,-0.7068565573987448,0.14236765537695242,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunEmphasis,0.40780277921066954,0.09415090869497789,2.114824683325631,0.14921827451702036,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZonePercentage,0.5833333333333333,0.2564102564102563,1.1858665453113344,0.1605555327736845,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaEmphasis,0.4283565363145647,0.7511384222050295,-0.8102666939100188,0.13343435524810165,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_GrayLevelNonUniformity,0.6175712641726558,0.9118803176938888,-0.5622388612169906,0.17081951710256307,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZoneVariance,0.4317260691363087,0.7539811963414829,-0.8044123339154997,0.13338409483831717,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,0.6097191252864302,0.8975440697672541,-0.5578379773136835,0.17831985789165022,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEntropy,0.39506279504260444,0.10720159261359363,1.8817556482120537,0.17520724384888112,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Energy,0.37053393441504473,0.0806868426627565,2.199200331891221,0.19491337517889096,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Entropy,0.36891571266760903,0.07360821662235875,2.3253525135845043,0.17686929651779476,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Minimum,0.3064613957031078,0.6696701795789995,-1.1277453741491477,0.1837079645217478,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Range,0.629074485763501,0.33441823127380105,0.9115773498969686,0.15261253393551846,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RootMeanSquared,0.38473897643124366,0.09263911765438779,2.0541865734550577,0.19178939877330592,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Uniformity,0.6175712641726554,0.9118803176938884,-0.5622388612169912,0.17081951710256268,0.2787466667448633,r_amygdala,male_P45_nrxn,male_P45_control
