,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_firstorder_10Percentile,0.28686172872876575,0.6224651210412292,-1.1176374943264435,0.14712740004369398,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEnergy,0.3297799599182881,0.6661858407207626,-1.0144209592501343,0.111731853419822,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEntropy,0.6307617066968773,0.3090529860943197,1.0292408727756022,0.13349204209362997,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MaximumProbability,0.38896130962559994,0.8093729483208586,-1.0571779745889298,0.03177073974897034,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumEntropy,0.6224897800870183,0.3031682968436121,1.0379312567530146,0.13482227020728843,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumSquares,0.5794974037854986,0.2598134619821838,1.157326013243045,0.14224324568359997,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.3161135694201118,0.6520430895568501,-1.044524341160871,0.11465804889079702,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelVariance,0.6082089521806511,0.2827981743063464,1.1047942450418067,0.13303906130588877,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunEmphasis,0.3526029290020719,0.6909835776243363,-0.9706069640830159,0.13099292159323747,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.652539228022325,0.33232166975621524,0.9734842631266989,0.1610105596593562,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.6457508210730565,0.3142200090822631,1.0392025204122328,0.13742127829161296,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.6522718045852951,0.32347621488735356,1.0118136320713988,0.1347404142048222,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idm,0.358893350928152,0.6888043093822567,-0.9405389735546885,0.13196871914353095,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.6472243788819876,0.31917701863354003,1.0199091720715725,0.14291384115218536,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunEmphasis,0.6641381361711947,0.33724971969423373,0.9776660993680675,0.1312088237918616,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaEmphasis,0.12240453932331555,0.4704770221507303,-1.9424672034201733,0.09619047897772125,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.258208903060734,0.608177626924906,-1.2359539990893602,0.08160059930513257,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZonePercentage,0.8400000000000003,0.4720000000000001,0.8316024683042816,0.0728150351235509,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneVariance,0.12404876995104372,0.473224073469082,-1.9316160373958104,0.09543548836075988,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceEntropy,0.6382584105489033,0.2849233817943514,1.163566624597149,0.11199687527431015,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformity,0.19793238033666194,0.6172928190024664,-1.6409473621251174,0.10751689422540614,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.19793238033666238,0.6172928190024667,-1.640947362125115,0.10751689422540642,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelNonUniformity,0.3432724693109622,0.679730059835914,-0.9856077680151716,0.11199811792475456,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelVariance,0.5916127111575072,0.26601837653894156,1.1531271394615916,0.13255875646600154,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceEmphasis,0.7888759020467311,0.4410275870174146,0.838929466333938,0.13480790234720813,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunVariance,0.3722535481827568,0.729631745658347,-0.970882901198746,0.1252575824848633,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Id,0.3593948759325065,0.6885846934623526,-0.9380642718304875,0.1347145665964367,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.31207583121043037,0.6426228699037388,-1.042075693184426,0.12021058805708604,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceEntropy,0.6340039559882398,0.3209724684146932,0.9820422876477176,0.15160957523387875,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Uniformity,0.3432724693109612,0.6797300598359135,-0.9856077680151748,0.11199811792475384,0.34873226686080433,r_amygdala,male_P45_nrxn,male_P45_control
