,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.6020112291165709,0.9035408014969363,-0.5857993534778508,0.15782767232776412,0.5383647341285129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.5572032016092499,0.843480499015038,-0.5981511667944639,0.18349491026866338,0.5383647341285129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.3976811395354446,0.13652297047516618,1.5424684322315572,0.2148107387678836,0.5383647341285129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.4273357878700228,0.7453972627873194,-0.8026393785631537,0.17263970579858537,0.5383647341285129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.4026637937532159,0.14645717202120972,1.4590969117127244,0.2190884445618096,0.5383647341285129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.3411666004978281,0.08964916979858065,1.928114288612931,0.24563028430378547,0.5383647341285129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.5630531032433189,0.8391225312719494,-0.5756104991869896,0.19068561806300605,0.5383647341285129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.3446989221904385,0.0920853548629135,1.9042931523744966,0.24323890101691428,0.5383647341285129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.5324924738291344,0.8277918711125011,-0.6365069467808955,0.18047980559865698,0.5383647341285129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.4494724004773766,0.17679393592063625,1.3461637400784758,0.18271569900784057,0.5383647341285129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.45949516883608954,0.18751644952666968,1.293032534139053,0.17888266710533468,0.5383647341285129,r_amygdala,male_P45_nrxn,male_P45_control
