,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_Kurtosis,0.27458102786385424,0.8339453157668721,-1.602720838913818,0.002428061156023139,0.21366938173003622,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_10Percentile,0.333767588686128,0.7032649449488098,-1.0752244412123144,0.0560413043562611,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceEntropy,0.7186210108473289,0.35694916875566945,1.0095124747788793,0.07163302828416448,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceVariance,0.6447003990755297,0.2966504690453823,1.1198648126288302,0.07765130597096288,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.2613076997214092,0.6127165860881887,-1.229470269350934,0.1156065891940679,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.26073476651983196,0.6183133527341522,-1.24575519606959,0.10483351401916839,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.448086069264539,0.8214761180857308,-0.8744427591867225,0.08672557163703973,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.39978437666727107,0.7884351036011836,-0.9797699175843269,0.09099525467712623,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEnergy,0.2214464347381321,0.5968766712474409,-1.430475097382339,0.07338461437893948,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.6892147483025859,0.3512698388614012,0.9723738661756587,0.08350973659645393,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumEntropy,0.6587137223047789,0.3387288986984524,0.9595205288264442,0.09523310893470677,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.5778305408070877,0.2573617277278097,1.1668489322244253,0.09498495249445671,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.27631162373176854,0.6581558560041594,-1.2521330109393336,0.05103517229967676,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.5800454371841619,0.2791157667722052,1.0553022944227322,0.12072671134541169,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.7457718183457124,0.39859879976722573,0.9037969147105458,0.12015079833595411,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.7569590833748618,0.4085376614302822,0.8897462382524349,0.11329721442963764,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.6022833275055697,0.25743204467226055,1.2262506737913623,0.08745609462685792,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.2532816894061183,0.6220910178769872,-1.296382892413742,0.06370358571258163,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelVariance,0.5742602107228674,0.26661475897936154,1.106947958062616,0.11116241473439008,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceAverage,0.7013496306454798,0.34174548450664155,1.0372115476107144,0.08329550073548289,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Contrast,0.6548300133038496,0.3001916401782148,1.1252366464884,0.07624909754784334,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.23794682337615225,0.6044094527647312,-1.344887029510852,0.06117375616921224,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterShade,0.5164509386223833,0.16322089840531145,1.6618055153671665,0.07096376193869959,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterTendency,0.5363937521659373,0.23431307593605818,1.1948549664161834,0.11849358308548773,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.6624050241780648,0.3033623876093225,1.1266713912592108,0.0720295038998273,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_90Percentile,0.6519252049053282,0.29392630812588916,1.1492519597537771,0.053449336534088114,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Variance,0.5781711513990835,0.270546566964288,1.095619690762855,0.11402229103922096,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Uniformity,0.25328168940611867,0.6220910178769872,-1.29638289241374,0.06370358571258186,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_TotalEnergy,0.577828519681868,0.2703286989756744,1.095926731048225,0.11414554556035378,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Energy,0.577828519681868,0.27032869897567446,1.0959267310482248,0.11414554556035404,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RootMeanSquared,0.6418533669947961,0.32731921664984354,0.9715454433601082,0.1062120633960452,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Entropy,0.6934157516366999,0.36470776999460935,0.9269796729766732,0.0922790463521604,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.6764318268893182,0.31451248924580744,1.1048272343376992,0.06619291300777423,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.6580372601401272,0.31842396671991574,1.0472203493485268,0.07952693707763435,0.3124691352469479,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_InverseVariance,0.5191743219306062,0.8587360901261647,-0.7259957950159047,0.13353223538684145,0.3357381918297728,r_amygdala,male_P45_nrxn,male_P45_control
