,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.5157544163241525,0.6917647102768167,-0.42359714812749416,0.4187425647860966,0.84910477251828,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunEmphasis,0.3922976619692533,0.2572365289079773,0.6088532098936666,0.5585929319115498,0.84910477251828,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunVariance,0.5884020761589727,0.7488957572356184,-0.34796257919245066,0.4813064351317792,0.84910477251828,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunPercentage,0.3846770343087105,0.2420571584475823,0.6682999413461845,0.5363437274547892,0.84910477251828,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.3820713085056793,0.24176255493787355,0.6602511111030003,0.541689495142408,0.84910477251828,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformity,0.374184138751409,0.2304755594029964,0.6991346363198716,0.5321309531991696,0.84910477251828,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.19261600194321743,0.3822021773217269,-0.988608434241581,0.43858882373083174,0.84910477251828,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis,0.1569811959515728,0.3264555051866472,-1.0562946148467955,0.5013596624747583,0.84910477251828,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunEmphasis,0.5882703671279249,0.7366756530488864,-0.32455019731373413,0.5182690444807871,0.84910477251828,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.6104137162806726,0.7447204922865742,-0.286911675806595,0.5506832128955439,0.84910477251828,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
