,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_glcm_Imc1,0.7052976077806916,0.12257361679889929,2.524583665007798,0.00152314691163354,0.13403692822375152,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Skewness,0.7967023946082145,0.2700236461254736,1.5609551607210528,0.01512142905736548,0.4435619190160541,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Imc2,0.19478113842883182,0.7271604345622411,-1.9004197221067927,0.010136938829735438,0.4435619190160541,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Kurtosis,0.11388435922130113,0.5788678421265505,-2.3456643905143855,0.024439858525065188,0.5376768875514341,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEnergy,0.45245448189723697,0.6979806822742756,-0.6254144475008164,0.21357365909927026,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEntropy,0.516944500885593,0.2932721790322975,0.8177691834614012,0.26290840116717235,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MCC,0.06243032224066092,0.366823370412406,-2.5547667387894615,0.14655083976323768,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MaximumProbability,0.47555407649503134,0.7777538271715526,-0.7097041859599567,0.11979158002477323,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumEntropy,0.5163568326924135,0.2901249482673517,0.831694036405759,0.2566771143929127,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumSquares,0.46408589221823354,0.26124734113229825,0.828975487467113,0.3203768819358481,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.43620495283717164,0.6761519572514944,-0.632341360818023,0.22298038227521685,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.47654664387872686,0.2849846221120207,0.741733357545706,0.34505370986161504,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunEmphasis,0.472800747185132,0.7039855998614304,-0.5743136031420156,0.2598393698122306,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.053258001059638696,0.2683564098855496,-2.3330801625366826,0.336402343012126,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformity,0.48917977079021024,0.260396955835205,0.9096521620547047,0.25337476829137867,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_10Percentile,0.4211131682042276,0.6534753919338521,-0.6339249198893169,0.24288957173469602,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunPercentage,0.5005597850425438,0.2730599449811276,0.8743246881563562,0.2580947534788071,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunVariance,0.47678592496081323,0.7106433254276942,-0.5757840002933741,0.26731275995794684,0.5729193673173986,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
