,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.4768585171170894,0.7846655114995936,-0.7185165053973576,0.13798795701383046,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.37228830001136315,0.6963542609122197,-0.9034011676301644,0.13684419368283818,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.541679547214858,0.25729296313590677,1.0740276179740984,0.18485805514938208,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.3878912385202576,0.7355585855705886,-0.9231880640257454,0.09348730333191237,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.5474691009391391,0.24806945316533727,1.142033446308267,0.16128184015238428,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.44473982436387355,0.20378536247214454,1.125911167950076,0.2636984222767818,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.39176948789850163,0.7219619116605117,-0.8819176864045022,0.11681520008717092,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.4669246177793852,0.2310568645717086,1.0149417023311407,0.2677403115684373,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.39174665921420865,0.6432848386315257,-0.7155367151245705,0.23743227493519084,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunEntropy,0.5976239200518334,0.30249252231682283,0.9823384144424325,0.1672088790609867,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.5298415941644498,0.2884463363269208,0.8772581648040377,0.25699769246988524,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.5486347027331709,0.30329757153367976,0.8551119331833864,0.24979399428774954,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.5505927102182495,0.30629639203811065,0.8460571358731556,0.24983447057503327,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idn,0.19943102140165436,0.5950104076583003,-1.577025065896438,0.08438911672162613,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.39180881086442804,0.639755935889901,-0.70737178736992,0.2435776013912554,0.4909980301470459,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
