,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_firstorder_10Percentile,0.2415021137061658,0.6398258098351431,-1.4056433742220222,0.03216484928478024,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceAverage,0.6685311228533326,0.28116227409945066,1.2495916963244638,0.033581153130244734,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceEntropy,0.6631520229754331,0.2941627026628435,1.1727252993403636,0.04336438082668931,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Id,0.30243665991648605,0.7068052436691395,-1.224679716332117,0.027306694086736572,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idm,0.3063939842539751,0.7087165111693068,-1.2098206886675544,0.028277091942100836,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEnergy,0.29685771793906723,0.7094029680627673,-1.256833744452702,0.02702472574359019,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEntropy,0.6744945213692795,0.28818051425548513,1.2268339359384315,0.03464110188534864,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MaximumProbability,0.3127167908556572,0.7857404528638086,-1.3291961529968908,0.012931816081982149,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumEntropy,0.6697424190946251,0.28548584114766695,1.2301871501171435,0.03517991873279534,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumSquares,0.6263578875379626,0.2613695697286051,1.2608960345468365,0.04422597421506484,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.2551360918591259,0.692691544797014,-1.4409460652111266,0.01736181204848273,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.694700470153359,0.29778274880745725,1.2221308957793562,0.03237114995875941,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.6944215889692691,0.30494397003380913,1.1872676123116144,0.039205673054481395,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.7145613322502022,0.30089358245329195,1.2478045093049053,0.024167719452882343,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.23887985174572735,0.7042317616084549,-1.5597651205474983,0.009729078134248469,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.6999524261538372,0.31175463119190566,1.1668458775610553,0.04236824710874176,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelNonUniformity,0.34056606540256507,0.7164215321110372,-1.0728740087747393,0.04416843418820793,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.2759052021817878,0.6995179771955297,-1.342188475363884,0.018794183075983066,0.1501303414040018,r_hippocampus,male_P45_nrxn,male_P45_control
