,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.28147600660084987,0.6944770684173633,-1.3029151070557647,0.0465374065200949,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Id,0.24522544037234417,0.6462963670299626,-1.3980872259342014,0.059632141831727256,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idm,0.25049923419291464,0.6536062092931887,-1.383615496296706,0.05913414038737497,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.20731594940399062,0.6334307642494165,-1.6113558260502854,0.04849644036989531,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.7012097328117008,0.28219781217261025,1.3131392178550012,0.05067934332302054,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MaximumProbability,0.23895380629206248,0.6720986463283494,-1.4919412496316853,0.044427264647619306,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.6874325010457509,0.26247378578434466,1.3890447195926912,0.05130574813739887,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.5917831620035962,0.19544201794888438,1.5983279834427697,0.06780536378698743,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.340722671785481,0.779229936115087,-1.1934511553373761,0.05151892998447803,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.16261871909714742,0.5496615813987686,-1.7570503096182535,0.06277267023975996,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.7785803041091228,0.37656820527962565,1.047934654756953,0.06347296687573543,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceVariance,0.5602369048960112,0.17087640658558262,1.7130838086866822,0.07740183696400363,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.7853716492958096,0.38357118537811247,1.0338811735427982,0.06276802959398826,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.15257195716573624,0.5346252810324627,-1.8090382423087872,0.06359183050327706,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.7962171017034374,0.39750771344272645,1.002179003507142,0.06265859279365538,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.2741599821762136,0.6730317435980361,-1.2956565480949092,0.07729088828537438,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneVariance,0.27379710276176483,0.6728051577059906,-1.297081584782831,0.0770880007817708,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceEntropy,0.6508705408264319,0.2112345116309328,1.6235250552127023,0.0463828115397434,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.8022132579938002,0.39534621035500417,1.0208692138718405,0.05154804069947832,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.802213257993798,0.3953462103550024,1.020869213871843,0.05154804069947789,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.24898760925732033,0.6735635072991777,-1.4357400282926194,0.05081400702592844,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.5808465885945109,0.1962347487087315,1.565576641143641,0.07553764998444289,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.17434770262566335,0.5661193373087869,-1.699138849688558,0.06559333993627367,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.7968086078494085,0.39983551880111445,0.9948265953202202,0.06287768712412586,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceEntropy,0.6773587226256421,0.27171386280273857,1.317831899985833,0.058849865889177455,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,0.26122434694531416,0.6797809698502375,-1.3797806079263089,0.0524401895789662,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Entropy,0.6907176633301401,0.2776810949025633,1.314667158473247,0.055510166928964086,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Contrast,0.6017582760737051,0.20792416541043957,1.5331266372645869,0.06991285603084675,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterTendency,0.5835447767410982,0.18513308925204428,1.6562805871355486,0.0667527016265772,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.6297775275810659,0.23808592052939398,1.4033599707643243,0.06931747541697376,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceAverage,0.6813107299946402,0.28052465689445044,1.2801853450045126,0.060469560998595635,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.6928348745813331,0.28180341221299965,1.297822470876157,0.05580638256728154,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.780659114194323,0.33744160971757087,1.2100548303123024,0.054528606076445586,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_90Percentile,0.7085883661335217,0.30029380955332863,1.238573044375837,0.05655075083804049,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.5855082954490648,0.20386887194163625,1.5220480990207927,0.07601345235163647,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Uniformity,0.24898760925732077,0.6735635072991778,-1.435740028292617,0.050814007025928684,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.5855082954490648,0.20386887194163633,1.522048099020792,0.07601345235163653,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.7697062468118834,0.3323587942769257,1.2115664276463796,0.05051735416931887,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.5856001696933182,0.20323780532287467,1.5267471813886677,0.07569334529069058,0.17465029879057228,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelVariance,0.5598930557302579,0.1810390805620633,1.6288501238687647,0.08328227131929587,0.17924780082858924,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.3272773722140434,0.704308981750911,-1.1056946222648814,0.0835131799315018,0.17924780082858924,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceVariance,0.10271022987659606,0.458476248871653,-2.1582671173116483,0.09303904062215927,0.19493894225595276,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.5628113441681473,0.22405193310110647,1.3288182341997732,0.09563523727459605,0.19571862512010355,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.6619211191522509,0.2913714931415461,1.1837995663232734,0.10131056919799816,0.20262113839599633,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.6164962739559041,0.22822736668039773,1.4336203799821796,0.10542352550040268,0.20307972244939979,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.6193246044165402,0.2583195283628144,1.2615390503142818,0.10615530946218625,0.20307972244939979,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterProminence,0.4603123500955582,0.13691620671082694,1.7493199224457339,0.1332649950846899,0.24951743760537684,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZonePercentage,0.5450507614213194,0.22487309644670014,1.2772795274708089,0.1506055942571915,0.27611025613818446,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.5245374868784891,0.20853822328591817,1.3307340392474332,0.1703569793697243,0.3059472282558314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.3159646086754595,0.6828241684990577,-1.1117511527358475,0.21613693481358479,0.3804010052719092,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Maximum,0.47413363359508776,0.19607327413669978,1.2739008354046364,0.22132019452374704,0.38188582584489683,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.3444531808351319,0.6421714563275209,-0.8986506400148129,0.23470048672927107,0.39718543908030485,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.18392977857604986,0.4276107058960907,-1.2171428999222238,0.24564564201790548,0.4014865428690102,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.5397365223954347,0.2655234960022316,1.0234157837488547,0.24636674221507443,0.4014865428690102,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.5059347430300819,0.22975527970988546,1.1388532992062919,0.2565022082626159,0.4104035332201854,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Range,0.5166097062747517,0.25364708434763,1.0262521727523304,0.2656240956621223,0.41601561986293334,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.3360233709414211,0.6071108003920694,-0.8533982605535096,0.26946466286576365,0.41601561986293334,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Kurtosis,0.41169747629873443,0.6449285992120173,-0.6475548419666083,0.28978206671079476,0.43966934259568863,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.3101672038949552,0.5927341771047544,-0.9343390974265586,0.2967557002405029,0.4426186715451569,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Skewness,0.1271085392851288,0.3517172521179222,-1.468355147110517,0.30477208223726915,0.4469990539479948,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.32594301862697167,0.5954728942720019,-0.8694160640974538,0.31980268999373246,0.46135470031882714,r_hippocampus,male_P45_nrxn,male_P45_control
