,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.3632983548006775,0.746151544599432,-1.0383138414505324,0.06560525951400602,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEnergy,0.2727132437192697,0.6117191415821944,-1.1654846575413214,0.10072978521107755,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.7070751992561496,0.40623758483920736,0.799539934479069,0.12381131867937235,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MaximumProbability,0.32039361901197805,0.5877163225980675,-0.8752745515471313,0.1976774761623476,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumEntropy,0.7103594815043814,0.43318112117611723,0.7135789245074822,0.15690321817639918,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.6656924368815331,0.42027179989961727,0.6635331221143327,0.18962407040333076,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.32782827452305596,0.56985656024385,-0.7976585319429601,0.19952851616178147,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.2164234287879423,0.5952662487834315,-1.4596784110948489,0.10541563991408438,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.22268004429185587,0.5274837602027411,-1.2441544025545082,0.18346023508916617,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.7210472397580285,0.3872099279857788,0.8969778379230584,0.14181750645330074,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.7385581015248674,0.3994402674531766,0.8867316428645402,0.13820151978647782,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.7402077604644055,0.38895203177513,0.9283380180164107,0.12570881357705008,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.21972660515573783,0.5896341859338552,-1.4241106055557486,0.10595199071667341,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.7593517863002521,0.4115151655224857,0.8838228013868109,0.12827561958305378,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.20497151986739248,0.5334342632081567,-1.3798870283034865,0.13000931420227962,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.25740677531514433,0.6383276304247865,-1.3102470692752601,0.13696702857196022,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformity,0.7473614394056198,0.41953966458281444,0.83299891487711,0.09439735535079594,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZonePercentage,0.912213740458016,0.5404580152671761,0.7551893527851133,0.15603880231111733,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneVariance,0.20541285586825586,0.5337455632351674,-1.3776256960813793,0.12996297655977104,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformity,0.6447922224524976,0.3790041934729974,0.7666205309286802,0.19080228668734628,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.6447922224524991,0.3790041934729983,0.7666205309286802,0.1908022866873462,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceVariance,0.2442247929101532,0.5204385068789258,-1.0915180445070614,0.18182008250978823,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.30607393543189065,0.6017168507379683,-0.9752045657570356,0.139554152869966,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.24557124281198317,0.597407903759535,-1.282574698421628,0.12779046747686756,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.23457995855138292,0.547892048316881,-1.2238119043264568,0.17809999595951573,0.4180597481484945,r_hippocampus,male_P45_nrxn,male_P45_control
