,binWidth_0_05_NDI_male_P45_nrxn,binWidth_0_05_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_10Percentile,0.33003488927891755,0.6440126810798745,-0.9644705508700204,0.09530177283481346,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.16616648814348017,0.6882196592749905,-2.0502396499107425,0.023068542645483872,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.8308837984531395,0.3136218173665629,1.4056208007086397,0.044224043369799806,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MCC,0.819625411716068,0.4298568631684958,0.9311083736431449,0.06405484274022395,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.22253022218596644,0.7127852867311549,-1.679466273037293,0.012923929574398575,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.06596213787841496,0.4631536280873082,-2.811780751516492,0.10148983671774629,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.8338438561270277,0.32991364915403193,1.3376887867063103,0.04926588636686333,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.663610452105472,0.2890610679891411,1.198962296032069,0.10486567690491053,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.20965182275342142,0.6657721453681333,-1.6670331388344624,0.08000582751694787,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.1411709623218788,0.6688256125876985,-2.2441867273872695,0.02521235061527478,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.022713832867424087,0.40809658354498135,-4.167267552208732,0.09551174899682055,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.8339244574728524,0.36135817892623223,1.2064871520900569,0.07742253158916167,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.8085091966137039,0.2856301195178763,1.5011160654495077,0.039173168300162715,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.8191181304105775,0.29775747577124845,1.459933797242936,0.04731570540093219,0.19700332673431245,r_hippocampus,male_P45_nrxn,male_P45_control
