,binWidth_0_05_ODI_male_P45_nrxn,binWidth_0_05_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_glszm_SmallAreaHighGrayLevelEmphasis,0.7230898777156305,0.17448134800826412,2.051102159504602,0.005544660615910848,0.48238547358424383,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelVariance,0.5400897915807071,0.1450526240761134,1.896622884819389,0.09677612999450423,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformityNormalized,0.42916381804502474,0.7614756264433528,-0.8272694087567498,0.13596302370434105,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.5919021810488453,0.06920547232961125,3.0964007461993757,0.040393284197733435,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_HighGrayLevelRunEmphasis,0.596662607825806,0.20746955053002977,1.5240157541930164,0.0708905456548723,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_LongRunHighGrayLevelEmphasis,0.6949088135402494,0.3459094809522184,1.0064291219777854,0.1478232292513362,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_RunEntropy,0.6520664253325101,0.20047797639859297,1.7015751803448145,0.03615832629716693,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunHighGrayLevelEmphasis,0.5722266835635254,0.16176034263456351,1.8227288154778494,0.0630985210645844,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunLowGrayLevelEmphasis,0.27456678659054157,0.578555507009357,-1.0752982609857673,0.15278645840559912,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_GrayLevelVariance,0.5992019243286659,0.27338760652593785,1.1320944142338747,0.09139934305331704,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_HighGrayLevelZoneEmphasis,0.5729626074725858,0.03294096137452773,4.120486423768415,0.011879766817811862,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_LowGrayLevelZoneEmphasis,0.3532189251812129,0.7164905566362135,-1.0203850463773783,0.1160468025794028,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaLowGrayLevelEmphasis,0.2832080982389049,0.6921795255983145,-1.2892837483921815,0.07849359329173501,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_DependenceEntropy,0.4944494344719228,0.13778719730098601,1.84338114525444,0.11533232624796716,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelVariance,0.5416948348671233,0.18647303598469198,1.538513302835647,0.12812941424827873,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_HighGrayLevelEmphasis,0.6132438196509569,0.311669820672254,0.9764423251960993,0.15874717764080237,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_GrayLevelNonUniformity,0.33891904157577174,0.7213933883260735,-1.0898455062731043,0.09330742011631867,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_ClusterShade,0.5675153786015603,0.24411426962973662,1.2171028573514728,0.15888755424093584,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.07752493864007731,0.47579839261237317,-2.617618013843235,0.09731732781234054,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.6073185885586767,0.29430882446050843,1.0451227270549872,0.1417320342246172,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.5643481233986055,0.2174189937122902,1.376107397463619,0.13705521243020347,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.6073185885586767,0.29430882446050843,1.0451227270549872,0.1417320342246172,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.5911434152208462,0.2389915213327028,1.3065487431940208,0.14248723179524606,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_90Percentile,0.5561653924902652,0.183391093269499,1.6005904020131827,0.0908653668477505,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_ClusterProminence,0.5703410179880051,0.1796148702062281,1.6669179978219761,0.1264129103784224,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.6352388005981585,0.330490740619177,0.9426891832499494,0.15552589546212944,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.6196639579912233,0.2418239609257756,1.3575288582219083,0.12433503361463508,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.5755471612679351,0.2426301018799218,1.246175600591006,0.15171206533255918,0.4936863292486221,l_amygdala,male_P45_nrxn,male_P45_control
original_glcm_ClusterTendency,0.5416355786288582,0.21876556125715302,1.3079368663558228,0.1719782407826604,0.5159347223479813,l_amygdala,male_P45_nrxn,male_P45_control
