,binWidth_0_05_ODI_male_P45_nrxn,binWidth_0_05_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.6951172771842646,0.27869043935032023,1.3185928929110968,0.07234401311497682,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idm,0.6031595371866159,0.24597467880852183,1.2940298400931307,0.165529895337868,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.6954226236352266,0.3350047693015,1.0537083672170084,0.0968364193750897,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.39130763012115083,0.7345377308843692,-0.9085333577007504,0.12965155322991898,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.5417988531251547,0.19628027644009394,1.4648421312553175,0.1342809859129428,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.42803469536294647,0.7674141543691595,-0.8422776321772163,0.15498951929063487,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.25332463565470653,0.579325171016732,-1.193385964802924,0.1392290628082791,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.43012251921565514,0.7661323184936142,-0.8328459150516435,0.14119206628225583,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.32297410828379475,0.6596274548884995,-1.030232933916083,0.14519904623036697,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.5325919910400292,0.22869183160987766,1.219625897248367,0.15247919946564395,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelVariance,0.351388956221646,0.6523186424255549,-0.8925080097744875,0.1750450506283155,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.6145009549407494,0.2605740689748716,1.2377217312917068,0.15461245295184095,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.3839181842991027,0.736979838136322,-0.9408262563448984,0.17520004281596918,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.40652021054113296,0.7620614721152279,-0.9065802991683618,0.16576278647070397,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.3850337584396102,0.7378844711177799,-0.9384100126001177,0.1675927682505714,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.6601610956839946,0.30317397105358307,1.1226722243077911,0.17409128621978348,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.42971587341306705,0.779952633262773,-0.8600034410969106,0.16301888778269766,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.749514962026075,0.3684735099509241,1.0243963721507012,0.10520764528563298,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaEmphasis,0.7666502668725967,0.4027905493659021,0.9285387603312572,0.1070256388757746,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.4624369408756556,0.16901312068337,1.4521214003956155,0.16340386903986343,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.5059198902079451,0.8321177124187031,-0.7178786685358176,0.11998480308996773,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.5268515749881406,0.1892706110877548,1.476946167414903,0.1444830854541004,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.3407491855891686,0.6548873743216644,-0.942536608462143,0.16245565714361207,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.6466967416669787,0.2949097126027978,1.1328160043661901,0.17619193434740088,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Id,0.6062702270803648,0.24843390267970306,1.287098910604641,0.16584695439554753,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceVariance,0.29216449859819993,0.6383291918341035,-1.127519741617818,0.1318200270795466,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,0.5274112930846515,0.19881174988024308,1.4075254394760777,0.1362218400484769,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceAverage,0.36041676885949275,0.7062140763216397,-0.970439441331281,0.16204822680896117,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.40030064919646413,0.7810072027935446,-0.9642518981497323,0.1276442617715028,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.3407360879773687,0.6594763983358097,-0.9526662745482474,0.15188540075380763,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.3902746482771544,0.7339287873256007,-0.9111503357495585,0.1294024357285522,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceEntropy,0.40806379651202895,0.7433807578146723,-0.8653066248302942,0.1540080254622233,0.3605788423853785,l_amygdala,male_P45_nrxn,male_P45_control
