,binWidth_0_05_ODI_male_P45_nrxn,binWidth_0_05_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.4164743725302828,0.750122630670964,-0.8488987448179783,0.15855646169070897,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.5630217476470352,0.23687917823382687,1.249039259135059,0.16371002326686962,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SizeZoneNonUniformity,0.7102472221770417,0.3795111682039642,0.9041789422495671,0.16842182529900931,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceVariance,0.669117373767203,0.29278270016444885,1.1924289938761916,0.1191943632553322,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.6145161810743854,0.1822863371525622,1.7532445676995003,0.03783423280704119,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelVariance,0.6035041164018308,0.20830180089085265,1.5346882990237016,0.06810516723270667,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.38793860995028606,0.7414730250709677,-0.9345658395376055,0.14407674245954255,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idn,0.7182904726156991,0.4468496543268145,0.6847778715112693,0.16667179352256756,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelVariance,0.5538614070442196,0.1959809514305068,1.4988115783607225,0.12078915158569561,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.595690846085675,0.24749726310664183,1.2671512179604818,0.09652650334919603,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.6189288115335776,0.3152453873160531,0.9732982207566239,0.15619874725300834,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.6033083822042298,0.17480047543150298,1.787186518158638,0.06952062458723923,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.7058081974002122,0.36174415671277615,0.9643064730119155,0.15828615142939828,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.6117652864914869,0.26716417180140534,1.195251698742808,0.10461378926976271,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.544026636121709,0.17624510229432222,1.626094122319746,0.10959222525409587,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.5277112852435998,0.11710889814273243,2.1718981377275246,0.06336579291226448,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterShade,0.6520669250933646,0.30354010656605634,1.103132892036928,0.10722661707438015,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterProminence,0.5580018432036029,0.17161258384605843,1.701114542302804,0.11393831994587214,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterTendency,0.5580015441291856,0.23083587452459636,1.2734016617040114,0.1642544107971341,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Variance,0.5526570653137959,0.196403031500426,1.4925673392012013,0.12171385428484131,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_90Percentile,0.5500477336160228,0.14913435242572665,1.8829442081884205,0.06713929539902347,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Energy,0.6073995160950744,0.2961599181047076,1.036269357753546,0.1426701511533599,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.5989296264507478,0.22430459118869553,1.4169273473520665,0.11733808515182556,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceEntropy,0.6885897867044468,0.19684598351052857,1.806577507012453,0.023344238513418488,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Maximum,0.658701756566192,0.28556375487982655,1.2058125201586958,0.12191128411799251,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_MeanAbsoluteDeviation,0.5754021099998101,0.22386255621844442,1.361957271671863,0.13505889117059575,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Range,0.6663442636821417,0.2862522135295521,1.2189808823104231,0.11533119658463578,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.3696826643707949,0.7339061424262482,-0.9893081794821141,0.12092798962491082,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RootMeanSquared,0.6371372009485304,0.3340846702277364,0.9313902906405703,0.15635565366415946,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis,0.6462523461351217,0.1592039398115337,2.021221574332151,0.02524539718531123,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_TotalEnergy,0.6073995160950746,0.29615991810470776,1.0362693577535458,0.1426701511533599,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.5933580881952771,0.22640392617227262,1.390004048949346,0.12174134669744642,0.4631600195722756,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Contrast,0.6536229084865401,0.34594454369464434,0.9179177620674894,0.18084303722035694,0.4822480992542852,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Minimum,0.34787805205520855,0.6167529432594451,-0.8261110344721203,0.20090072084435265,0.4987621635084702,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.6428538673836858,0.32182936165890796,0.9981948690985527,0.20403906688982873,0.4987621635084702,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.5227782710550171,0.220068166646986,1.248248706427475,0.19462006030732304,0.4987621635084702,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaEmphasis,0.6421416345741695,0.3443347082628108,0.8990799327696098,0.20990249201321598,0.4992275485719731,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZonePercentage,0.6489130434782608,0.41217391304347817,0.6547719672539086,0.27349385874754656,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.4982158392692076,0.7663123266815288,-0.6211616242265122,0.25687584775440475,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LowGrayLevelZoneEmphasis,0.3876108700330741,0.6421101342822313,-0.7282117388276342,0.28021439245004914,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.5808995287533616,0.28361586444788806,1.0343504255043134,0.29920243080856185,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.5908154859967052,0.28487189683576664,1.0523943373780809,0.27376790907125925,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.21094586710719646,0.46735035097863253,-1.147631655108174,0.26707536455385406,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceVariance,0.6530377992792162,0.2882489378476788,1.179851208803046,0.24157501995471908,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Autocorrelation,0.6378219699174764,0.3603578958582981,0.8237233355835035,0.2403690439327935,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceEntropy,0.663039288033135,0.3860481413002358,0.780313592099218,0.2206416795370883,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc1,0.45573570177030587,0.718789137087789,-0.6573712119290017,0.27250003743490764,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc2,0.5981863359512434,0.30002107101116915,0.9955311288195554,0.25142412477178067,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.31019810580506624,0.5655791403954634,-0.8665390351454254,0.3007703308492473,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_SmallDependenceEmphasis,0.6608261601871801,0.4372443130148372,0.5958311800269572,0.3021403704898118,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Uniformity,0.4982158392692076,0.7663123266815288,-0.6211616242265122,0.25687584775440475,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.5098463863684333,0.25818386859552367,0.9816637738181051,0.2876901194459229,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Skewness,0.7057815146545139,0.47390230788502646,0.5746319576792082,0.2797180165217327,0.5016670302472347,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.5927858738880938,0.38065264371696256,0.6390359704971483,0.3094656067050523,0.504314322037863,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Mean,0.7045653652336372,0.4704487402932148,0.5826960204459537,0.33097517668751547,0.5295602827000248,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.5033102296275578,0.28940734460004924,0.7983463853203931,0.34120048810295195,0.5361721955903531,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.5399348764187129,0.2903582489523167,0.8949513879154058,0.349555311643666,0.5396643407832037,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.5418238568331615,0.2702293730728556,1.0036394181298862,0.35764076206721973,0.5426273631364713,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MCC,0.5335444306730897,0.2925496898137201,0.8669267273455985,0.36623961031448377,0.5462556899605859,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Correlation,0.5906587212816419,0.36897185773212227,0.6788140083727526,0.37477995824356325,0.5496772720905595,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Median,0.6985863009712185,0.5174849634744124,0.4329214093450163,0.41969748175753374,0.5930472461799634,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.6641194611388113,0.47424848603716024,0.4857996073743248,0.44478543463497255,0.5930472461799634,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.6641194611388126,0.47424848603716124,0.4857996073743246,0.44478543463497233,0.5930472461799634,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.47864828513786417,0.6897108271687984,-0.5270256739891094,0.41811730158625293,0.5930472461799634,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.5962262357480252,0.36809365153311613,0.695786991698869,0.42944026995471085,0.5930472461799634,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idmn,0.8454779023895966,0.6655489493916263,0.34522227200757877,0.4316934476285742,0.5930472461799634,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Kurtosis,0.2722592643642975,0.41890059873476204,-0.621626804837971,0.5022726082016735,0.6597013361454817,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.5503123895613928,0.4001547876693632,0.4596926389017845,0.5759243781488897,0.734512250392787,l_amygdala,male_P45_nrxn,male_P45_control
