,binWidth_0_05_ODI_male_P45_nrxn,binWidth_0_05_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.7782218833407101,0.23902287157358942,1.7030328758552835,0.016188275123315242,0.34009453843500265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,0.6649560343384822,0.15984331216595662,2.056600572330686,0.027022302282244278,0.34009453843500265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,0.6559588967555053,0.1755548459504814,1.9016835961287324,0.03204220051044793,0.34009453843500265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.7221742134810105,0.23688760551882626,1.6081441916340213,0.03008377292982472,0.34009453843500265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.7042021245333816,0.22877576065884853,1.622055376517628,0.03462153372714615,0.34009453843500265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Maximum,0.17739638314991835,0.7171783131863997,-2.015355267573599,0.02403916132433211,0.34009453843500265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LowGrayLevelEmphasis,0.706924854487601,0.2299788842142488,1.620055461442609,0.03478239597630709,0.34009453843500265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idn,0.19817922749494965,0.6882004595175474,-1.7960231035501888,0.02499147567057747,0.34009453843500265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idmn,0.20589119977237047,0.7470994154923801,-1.8594180658003856,0.018014197662874553,0.34009453843500265,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.5946819067532524,0.1569408379934828,1.9218973735878284,0.06957169268322727,0.3601358209484706,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.6465921039865463,0.20405937500214125,1.6638668965915493,0.05223174842542781,0.3601358209484706,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumAverage,0.12562492513868143,0.4999378599022711,-1.9926260487496752,0.06714299772878687,0.3601358209484706,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointAverage,0.12562492513868154,0.49993785990227124,-1.9926260487496745,0.06714299772878672,0.3601358209484706,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
