,binWidth_0_05_ODI_male_P45_nrxn,binWidth_0_05_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_glcm_Autocorrelation,0.13049121608376243,0.5572835471887659,-2.094458864872718,0.027569654446011973,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.15358919352193673,0.6008061950080312,-1.9678229766385957,0.020588839234972747,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.13265675159325965,0.5573057169926934,-2.070770849345054,0.028247116386977817,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.05833535988056465,0.5381596073197734,-3.2055915697277997,0.02746963138324679,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.690957328687053,0.21795099937498338,1.6645927982118547,0.03157978680528001,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.7641495563637754,0.2646884364170706,1.529559856095941,0.010909353641363709,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.19789679072900856,0.6029706092317028,-1.6073394655988398,0.039212851032446865,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.14366002939541936,0.5582592988337052,-1.958276661147294,0.033710454287831634,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.776024891659767,0.27546364826173236,1.4942409836529342,0.008645802269757261,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.1427407857236274,0.5488170165411141,-1.9429275951941722,0.03737041528516433,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.6196016876818263,0.15028408314187197,2.043648854857524,0.040301467735379154,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.6900339455003229,0.2204341270377707,1.6463197400231304,0.015647542282350973,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.16044885211915147,0.5694017944236728,-1.8273335712752816,0.040002180911687286,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.1535891935219365,0.6008061950080312,-1.9678229766385977,0.020588839234972643,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.7702416772979033,0.2683978279493237,1.5209381922239782,0.010684820128465038,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.8382066302890918,0.4054088445161648,1.047928369961072,0.02851461543308353,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.7122373069063017,0.2524419908719925,1.4964060995810764,0.025038157107498717,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.13114502165560252,0.5563485623221844,-2.084825997387876,0.02819624156968946,0.1970293978174092,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.6469375489677074,0.19586154955591265,1.7237922472112241,0.04672545948113773,0.2164126544389537,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Kurtosis,0.2692761802648298,0.6434786899449533,-1.2568057545548954,0.060642391169824617,0.2541204963306936,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
