,binWidth_0_05_ODI_male_P45_nrxn,binWidth_0_05_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_firstorder_10Percentile,0.4692503411731139,0.7494467799314052,-0.6754682384868606,0.13753011017879177,0.6226966072520299,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.6771229294217335,0.3639508014022388,0.8956743329120972,0.33977219617845833,0.6226966072520299,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.37565163219152,0.199014651331818,0.9165207257636464,0.4120559926151405,0.6226966072520299,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.5782863463986235,0.8414659909560797,-0.5411209243199467,0.18919719104936147,0.6226966072520299,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.40957915610884665,0.19583562851162312,1.0644990376897512,0.29947527687583525,0.6226966072520299,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.3921110525490603,0.1986054572058471,0.981357042854088,0.35849203831338405,0.6226966072520299,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.4131496571226767,0.20152084199146447,1.035735415411012,0.3063282738061341,0.6226966072520299,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.2635364897798129,0.5985030997351027,-1.1833559850355388,0.3632855939339149,0.6226966072520299,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.3117300281232229,0.636247279860209,-1.029290450638712,0.30746192171163944,0.6226966072520299,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.6236463550415408,0.38585575249133264,0.6926665519951071,0.4755941429586542,0.6226966072520299,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.6098711587954633,0.8266356883697009,-0.4387471590490374,0.29728270112134386,0.6226966072520299,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.7416627264240513,0.3993711313159086,0.8930332148107997,0.35770735507156826,0.6226966072520299,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
