,binWidth_0_05_ODI_male_P45_nrxn,binWidth_0_05_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.4824240722193063,0.20031996327917317,1.267995694376487,0.2204468696042675,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Correlation,0.07478190412654286,0.3845557456628689,-2.362431636902555,0.2347145632799426,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.6361034750214904,0.290463956399527,1.1309023168931887,0.19570985290903367,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis,0.1065241085047935,0.35770424966169534,-1.7475872804770116,0.28244503687120587,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.15232904406522957,0.4264557922204778,-1.4852051530335368,0.27950008924188324,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunVariance,0.4773796876490163,0.7099455094283228,-0.5725711159229133,0.22541001430203605,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.6525661990793695,0.30386614141004475,1.102688332130367,0.1924208191940962,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idmn,0.2409225460001796,0.6661310063271216,-1.4672365263432199,0.0605246799388121,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idn,0.22162228248669535,0.6019850783391384,-1.4416247857006264,0.07338510796596742,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.625021049240545,0.34056479736217343,0.8759754592896621,0.27685189245181524,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.26935174333586787,0.5266855750412124,-0.9674505444239742,0.25511862549171155,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_InverseVariance,0.827844334953447,0.44900774708399316,0.8826191766005798,0.08801507187127819,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointAverage,0.16740447343385256,0.4680241592572191,-1.4832449226426452,0.2539514355343595,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.13856595486808898,0.3971628206314406,-1.519157738739345,0.2882417642842027,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelVariance,0.1102796172490319,0.3537708808987489,-1.6816491385271355,0.2446305821740693,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.7963050371449509,0.5498168139168863,0.5343701571280719,0.22908618261424457,0.6168874601121908,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
