,binWidth_0_05_ODI_male_P45_nrxn,binWidth_0_05_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_glcm_Autocorrelation,0.008282678229467044,0.6004801499036743,-6.179875402226862,0.06900230316941007,0.5069229075944697,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LowGrayLevelEmphasis,0.9129052102489077,0.3495431416076359,1.3849945404191983,0.05091184921720234,0.5069229075944697,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointAverage,0.009574076322101055,0.6007573931998357,-5.971505380813744,0.06923705777337717,0.5069229075944697,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.19553546520530163,0.6511680094285822,-1.735599524860859,0.026062340945568037,0.5069229075944697,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumAverage,0.009574076322102165,0.6007573931998362,-5.971505380813578,0.06923705777337723,0.5069229075944697,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_HighGrayLevelEmphasis,0.01929817369381237,0.5981128852631509,-4.953881570339696,0.07348154286629384,0.5069229075944697,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,0.02939644239868966,0.5935884448548734,-4.33574953424128,0.0748863386219103,0.5069229075944697,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.1867030143012358,0.6543011753852191,-1.809209642439105,0.024998875863923582,0.5069229075944697,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.9066367837765141,0.35055618564114127,1.3708790032329436,0.04898489961412627,0.5069229075944697,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.7959597640186268,0.298551730015851,1.4147145752735863,0.03187996371100125,0.5069229075944697,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Minimum,0.9036472467181365,0.45752318964755717,0.9819148347347372,0.05839515944656179,0.5069229075944697,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
