,binWidth_0_05_ODI_male_P45_nrxn,binWidth_0_05_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_glrlm_LongRunEmphasis,0.12159706208761056,0.7380816038575766,-2.601671960328942,0.0011743347973325981,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceAverage,0.8339273077291536,0.21201258776467072,1.9757717073878942,0.001111475487804642,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idm,0.13596155690280698,0.7672616939555162,-2.4965199417379527,0.0009673081113855012,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEnergy,0.10063111965174909,0.7463978732457968,-2.890868355342393,0.0008835214617403069,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointEntropy,0.8506633713604446,0.22618362778841092,1.9110938303542544,0.0012794604718488344,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MaximumProbability,0.07646717250476942,0.7019268520234446,-3.1984082605060338,0.0007841345813433914,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Uniformity,0.13034480467758947,0.7509606456458604,-2.526404224137753,0.001422286495578165,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceEntropy,0.835592739205421,0.21261582597695378,1.9745509689993244,0.0012754034472912913,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformity,0.8758365948876286,0.2494505796222823,1.8119077092690543,0.0010442365729044119,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.8812550982726977,0.2540689237952941,1.7943397744839518,0.0010373480300998534,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Id,0.13652294424100786,0.7634222542131365,-2.4833378096748384,0.0010157785870537849,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunVariance,0.12374300481379186,0.7391249549517958,-2.5784713120455973,0.001128919121851229,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunEmphasis,0.8826012598764361,0.25727999668336177,1.7784225136708218,0.0010956153203842817,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceEntropy,0.8933725240852306,0.24328128827863793,1.876636523655568,0.00129206815063492,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformity,0.12946733576286018,0.8284389907698951,-2.6778073000978875,0.0006286619167059204,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.12946733576286018,0.8284389907698977,-2.6778073000978924,0.0006286619167059174,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelNonUniformity,0.13034480467759213,0.7509606456458607,-2.5264042241377243,0.0014222864955782133,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceEmphasis,0.1295312472524579,0.7414804199124309,-2.517108430289851,0.001224533000473789,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunPercentage,0.8736448598130817,0.2531588785046708,1.7870038557745542,0.0011388392458467084,0.006587432190046461,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumEntropy,0.841027791786181,0.22061749685905063,1.930606261611918,0.0016415205946135542,0.007222690616299638,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Contrast,0.7856580165396784,0.18547467970211243,2.0826792196619968,0.0018534405897858168,0.007766798661959613,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.12864624437016614,0.7382317734790191,-2.5206644920650705,0.0020094825521759863,0.008037930208703945,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumSquares,0.7830758536599194,0.18282544814171708,2.0986851644506044,0.002163555996033195,0.008237335739574626,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_90Percentile,0.8833511869847259,0.26532358893873836,1.7352341668914497,0.0022465461107930794,0.008237335739574626,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Entropy,0.8315921010589746,0.23380552806160093,1.8305670135820744,0.0023739268134544424,0.008356222383359637,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterTendency,0.7804535361579366,0.18013501898944137,2.1152340703932184,0.0025418185861835045,0.008603078291698015,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.14445774342423556,0.7577706405168542,-2.3911137050430398,0.0028012390061064314,0.009129964168050592,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_10Percentile,0.08449090611762367,0.6772963431602061,-3.002919230977102,0.003285289768822388,0.009636849988545672,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.8689235469500669,0.26503074763520545,1.7130695015957702,0.003091814974615896,0.009636849988545672,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceVariance,0.7532753786272668,0.174459170828457,2.110287936577271,0.003263905172501533,0.009636849988545672,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.8834865040027102,0.2813398424472336,1.6508942195976002,0.0035166363504723725,0.009982709640050606,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.8022373984127724,0.23465063133552552,1.7735148807639207,0.0048009797260188496,0.011418546375396183,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Energy,0.7805820645675461,0.20960966862656183,1.896845049018244,0.004455605457964242,0.011418546375396183,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelVariance,0.7563054174989219,0.189189528370924,1.9991367153349766,0.00472745094380751,0.011418546375396183,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.7805820645675461,0.20960966862656166,1.8968450490182454,0.0044556054579642495,0.011418546375396183,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_InterquartileRange,0.87224800235327,0.28364440390358814,1.620654987350213,0.0046924985463365695,0.011418546375396183,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Variance,0.7805091359230071,0.2095758761444515,1.8969428584430592,0.004460849561305337,0.011418546375396183,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.7457004461227054,0.19357228971347848,1.9457237621127759,0.006726678912039268,0.015577572217354093,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceEmphasis,0.7510804863716516,0.2157156703314429,1.7998365336948285,0.010616563874618467,0.02395532361452372,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneEntropy,0.8263221294980869,0.3123485861363241,1.4035473052098082,0.013637282376057677,0.028125147491160817,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneVariance,0.1533809723945344,0.6686259735336169,-2.1240798780913117,0.013667392334053535,0.028125147491160817,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaEmphasis,0.15333447104654926,0.668290876534208,-2.1237941137211735,0.013742969796817217,0.028125147491160817,r_hippocampus,male_P45_nrxn,male_P45_control
