,binWidth_0_05_vISO_male_P45_nrxn,binWidth_0_05_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.6272372943597246,0.2121350157639963,1.564028565034948,0.021795644011927955,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.7700723099858615,0.2260395357220213,1.7684187905448179,0.01823396055558255,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.5104961097088732,0.08162658467059912,2.6447889668987865,0.03553314740517968,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Id,0.8172651061603169,0.3734335203973558,1.1299527051532943,0.03114912066469733,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idm,0.837643243367129,0.40974999984877625,1.0315919745902287,0.03561771268442732,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idn,0.37793066006876197,0.821932523570003,-1.120898397254823,0.03683590168082338,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointAverage,0.002746980075286898,0.6012535730728285,-7.773983306064977,0.024930677560052163,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.2205527880443516,0.6650451204985194,-1.5923282267982586,0.025027796719338923,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.9478595870503355,0.2980715775306074,1.6690145442201167,0.012925419723520156,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,0.9784941142356575,0.3088871452522827,1.6634833403376315,0.01308006998887033,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis,0.0031417581576631964,0.5704626367675927,-7.5044164571649565,0.0339424964240641,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunEmphasis,0.347025175280983,0.7556467358100989,-1.1226716050545256,0.03696087182626424,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunPercentage,0.2375670404680683,0.7364212579229743,-1.6321965792165842,0.03102546354310316,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.2579914788601485,0.6991814219610433,-1.4383434353130233,0.03525218117963008,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.0004934474375116876,0.5709909922687563,-10.176355855411217,0.033942034303723334,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformity,0.13182936906253406,0.6369628733911519,-2.272537473650809,0.01706003066377778,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.023363312469620548,0.5659612433384597,-4.598386521292702,0.0332820163916522,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumAverage,0.0027469800752865092,0.6012535730728281,-7.773983306065181,0.02493067756005217,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SizeZoneNonUniformity,0.14095879959308238,0.6138016300683187,-2.1224989337496396,0.022897156949566465,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.9892638901866646,0.30865470126420214,1.680361651231059,0.01243075497062304,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RootMeanSquared,0.3423754971491244,0.7317925058137402,-1.0958551855022058,0.028745852012957672,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_90Percentile,0.3494675370187495,0.762143854356877,-1.1249048855554267,0.027611745449003668,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Energy,0.2407221856811646,0.6407946385412001,-1.412492965868021,0.028186094044459997,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Autocorrelation,0.0021160861943337606,0.5722024808242226,-8.078983548549493,0.033487323242191176,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Variance,0.24069725425105995,0.6407960725403189,-1.412645621057047,0.02817668495574256,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.0018963779542748027,0.5713650545645683,-8.235022464935692,0.03361109036163882,0.09856232487003797,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
