,binWidth_0_05_vISO_male_P45_nrxn,binWidth_0_05_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.6560569020772817,0.22680018785905265,1.5323991149177865,0.03444666124765141,0.28484871486181146,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceEntropy,0.27865953551627043,0.6375376005911774,-1.194006909337248,0.040526573791322795,0.28484871486181146,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceVariance,0.2266459060454754,0.5702745181586267,-1.331216467791221,0.06290963509300453,0.28484871486181146,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.2719466153268322,0.5978187316325999,-1.136384632121468,0.07538721918366945,0.28484871486181146,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.29839314968557296,0.6104865285657197,-1.0327450444929882,0.091613570723968,0.28484871486181146,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.22222425252502198,0.5485800684490185,-1.3036859313523732,0.08226655640220934,0.28484871486181146,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.6327582298851546,0.29212891090512744,1.1150492233156692,0.09241082197492588,0.28484871486181146,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.24165384610374735,0.5735975116903972,-1.2470968090014578,0.07562878672947092,0.28484871486181146,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Contrast,0.1460513119958059,0.4954101517500398,-1.7621481139052053,0.07153002710333754,0.28484871486181146,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformity,0.27383398467780673,0.7352056294270537,-1.4248463072335857,0.010138862566756559,0.28484871486181146,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
