,binWidth_0_05_vISO_male_P45_nrxn,binWidth_0_05_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.5557735829237953,0.08663273564004381,2.6815130821311017,0.017620693106663202,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceAverage,0.34395532484951175,0.8780175508267961,-1.3520285878019866,0.010804866638539697,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceEntropy,0.38971765117942403,0.8741085599741771,-1.1653831906106715,0.01280890662651923,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceVariance,0.27401741744934816,0.7421919909681629,-1.4375248343755227,0.012665185925650387,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Id,0.6445608540592636,0.08911949016147176,2.8545036878649763,0.020652080172752756,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idm,0.634456861733212,0.08352667168898051,2.9252132182309776,0.0176918736656461,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunEmphasis,0.39940676254868324,0.9080588191270891,-1.184926990551034,0.0243985484054243,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_ClusterTendency,0.3272689932945789,0.7587191851014226,-1.2130890959554161,0.01694810942411742,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.37828994276555994,0.902013252282923,-1.2536562082206568,0.02476823184113581,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.5947879925949335,0.11293240031851237,2.3969160681119974,0.015647340203553,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.4377319364025267,0.9257799099321868,-1.0806216103492,0.01678001359858483,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.8987731904941101,0.31150199558814917,1.5287156853327017,0.001018226699539664,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.45014676818035637,0.9179262703195145,-1.0279828162366595,0.020823372947300134,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.3168229318667869,0.7678275663051535,-1.2771055938215772,0.013396548618902172,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.5293730095631739,0.10798886501011395,2.2934020796121426,0.025551672899541727,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.35708123519392276,0.898363400424876,-1.3310468316026525,0.025073964730604033,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Variance,0.32961038064449594,0.7614606620284462,-1.2080078282652562,0.0132256495398043,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Contrast,0.2936173968648684,0.7880614946900346,-1.424370761127967,0.008749199474968817,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.2805316514325454,0.6860750357364054,-1.2902028175792077,0.02437946939455254,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.29207184844622086,0.7151446155938309,-1.2919117015907442,0.018056959772689216,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Uniformity,0.5661814803690279,0.05971353675743742,3.2451346345177345,0.01168547834475863,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelNonUniformity,0.5661814803690266,0.05971353675743583,3.24513463451777,0.011685478344758662,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceEntropy,0.44797260022701035,0.8898314793362652,-0.9901216432064853,0.024855618026711213,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_InterquartileRange,0.4242698700855164,0.8384138264165705,-0.9826802808332277,0.021546331959538947,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.44802292912171027,0.9114586811679916,-1.0246046874891133,0.013834844756538749,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.41359159918610755,0.8243448500713901,-0.9950411074720877,0.020549429999572457,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Entropy,0.41582476137804947,0.8819928769117699,-1.0847913346173188,0.01575500282136713,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_TotalEnergy,0.32937835247737507,0.7613856808224868,-1.2088816969170608,0.01318893497835509,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_Energy,0.3293783524773749,0.7613856808224866,-1.208881696917061,0.013188934978355096,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_90Percentile,0.3957511934871474,0.8631319011792152,-1.1249873433201836,0.013694935222324848,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_firstorder_RootMeanSquared,0.379848666967279,0.8034681453603003,-1.080816069043444,0.017473956863853543,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceEmphasis,0.30984031471059603,0.7015363126883315,-1.1789929102248815,0.023787051265311897,0.07026710047373974,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZonePercentage,0.33417085427135695,0.7105527638190956,-1.0883558744208464,0.03190322343545108,0.08507526249453622,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.3597442222799261,0.888678265385613,-1.3046896877132839,0.034291891140869904,0.08621961201133005,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunEntropy,0.422380116864538,0.8136624126567028,-0.9458884237499039,0.03388366792873255,0.08621961201133005,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.5901769426915175,0.1519703366257259,1.957357809182278,0.06380664365045355,0.14397396515999775,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneEntropy,0.4157839014907214,0.7928255841425489,-0.9311696180694822,0.06263355922172217,0.14397396515999775,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Imc2,0.46757792306923374,0.8400102998507029,-0.8452002038222756,0.06378086002440696,0.14397396515999775,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformity,0.24161731807865502,0.5672304514422626,-1.2312111204385177,0.060374207733090636,0.14397396515999775,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneVariance,0.4622807063762438,0.1071814842249644,2.108713452481495,0.07081071898035224,0.15066950652068917,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaEmphasis,0.460378128742936,0.10616487026081438,2.1165128364961743,0.07191044629396529,0.15066950652068917,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceEmphasis,0.6222912892412984,0.21787749100743029,1.51407289282392,0.07005810401820572,0.15066950652068917,l_hippocampus,male_P45_nrxn,male_P45_control
