,binWidth_0_05_vISO_male_P45_nrxn,binWidth_0_05_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_firstorder_10Percentile,0.5769123577498954,0.20442382349312363,1.4967888296408345,0.1494015536380009,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointAverage,0.01099828041285994,0.4016747533880462,-5.190677905649495,0.1964680645433696,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumAverage,0.010998280412860051,0.40167475338804615,-5.19067790564948,0.19646806454336993,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.003018981514733343,0.40078805146018137,-7.052633765200973,0.19353783068656552,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.013007761569006432,0.40265208627808907,-4.9520891850881466,0.19989369110566843,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.9623566198501098,0.5841857114368171,0.7201445398071314,0.19970353398338547,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.9926254513056243,0.5965431308982404,0.7346229958256061,0.19395092895652488,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunEntropy,0.2330042303972082,0.48473637416001336,-1.0568441965229294,0.19150839072770878,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterTendency,0.32078830216143217,0.6686673294970944,-1.0596670966594777,0.1748867925780107,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.6810226283187184,0.35739405792351137,0.9301870872612344,0.15540912352065828,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.6896695429872324,0.41019363837486367,0.7496001387757104,0.20006091635973167,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.00533723065951619,0.40282691272724647,-6.237924900559607,0.19349847444043977,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.9866852568972403,0.5872709603029174,0.7485636518085828,0.18450612974096953,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelNonUniformity,0.7969029593943446,0.5015829318651186,0.667915798630882,0.17765185302832354,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.008940697148030724,0.4004345857854232,-5.485035446318489,0.19551393748617577,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.03142833328453806,0.40954150103635334,-3.7038719853956117,0.19939506746218547,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.9794968695357888,0.591901404478538,0.7266840016085806,0.1985478839301061,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.523077945379121,0.22522282594286375,1.2156728932428533,0.10951064007146209,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterProminence,0.1899568452609044,0.5281756808120797,-1.4753461742312821,0.19544045163466983,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.9844489323332288,0.6025746051720542,0.708176495717361,0.18338620764250282,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Kurtosis,0.3842576038027974,0.05054820433079932,2.926342060672219,0.14113719918935,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Skewness,0.45159066307390594,0.9291454491209035,-1.0408887970674339,0.0377992253187038,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.36784050706162796,0.688850821624045,-0.9051112250537627,0.1927246966596133,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Autocorrelation,0.008530261097256575,0.40012962283197123,-5.551733728841609,0.19546480655704798,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.3989881892049143,0.7430300784857011,-0.8970745728470207,0.17921125917001177,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Uniformity,0.7969029593943873,0.5015829318651186,0.6679157986309593,0.17765185302826153,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RootMeanSquared,0.41521924775120705,0.7833621477274351,-0.9158060962668589,0.14493456885973455,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.36784102150291464,0.6888409043301278,-0.9050884369434067,0.19274061657842564,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_90Percentile,0.4370197349456306,0.7928518554944209,-0.8593528928465207,0.16925265792485206,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Energy,0.36784050706162796,0.688850821624045,-0.9051112250537627,0.19272469665961342,0.5868453546552129,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.055110479182461924,0.4166562604657399,-2.918459080976501,0.21587278722842845,0.6019593106363287,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.9473466791395457,0.585931482712032,0.6931605034041005,0.2188942947768468,0.6019593106363287,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MCC,0.1712853767171264,0.42613221707737453,-1.3148991400745287,0.22995641267669678,0.607209803892727,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelVariance,0.10309967829878453,0.36156704304861476,-1.8102233505508307,0.28980467913061975,0.607209803892727,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumSquares,0.19333467468236876,0.4683291058267656,-1.2764222928517348,0.27284639295621865,0.607209803892727,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Minimum,0.6644737754512609,0.4256451609518489,0.6425610333912396,0.2831514001251632,0.607209803892727,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelVariance,0.1267494437665846,0.3950477284145563,-1.6400475496130011,0.25669231664004594,0.607209803892727,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.8960302769798147,0.6357584490074771,0.4950687520045331,0.28716823362675625,0.607209803892727,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Entropy,0.127660941677739,0.3928742926333385,-1.6217505746303928,0.2757927786448535,0.607209803892727,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.36818791412271645,0.6774477763241089,-0.8796674644656862,0.25463723778844066,0.607209803892727,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc2,0.37150978023173853,0.6150019637684202,-0.7271908260117955,0.28366843157086974,0.607209803892727,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.04613600939482797,0.34496819302206827,-2.9024982213310184,0.23481680046446218,0.607209803892727,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelVariance,0.18768768768768765,0.4552552552552552,-1.2783416586216423,0.3388667995084218,0.6206108160921859,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Range,0.35622235894146237,0.5915567528978374,-0.7317385121407612,0.31096959395596335,0.6206108160921859,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.29432436003506385,0.5312779215442868,-0.8520598063565191,0.3259596170704461,0.6206108160921859,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.795726922261877,0.5273732827419442,0.5934489266270062,0.345567386233149,0.6206108160921859,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Maximum,0.3712459518905218,0.6040438457393558,-0.7022779795940612,0.3347781451915645,0.6206108160921859,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_InterquartileRange,0.34759149314805043,0.6308632389681884,-0.8599345114669924,0.3096454962657949,0.6206108160921859,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterShade,0.39949985585632375,0.6055697173025811,-0.600098079727837,0.33109671322109213,0.6206108160921859,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZonePercentage,0.1666666666666668,0.4000000000000001,-1.263034405833793,0.35581957250178886,0.6262424476031483,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc1,0.6633454984011818,0.4440311026579943,0.5790997473956123,0.3704335549092586,0.639179467294407,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,0.21666666666666673,0.43466666666666676,-1.0044322463152604,0.41354173345193834,0.6739198619216773,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SizeZoneNonUniformity,0.0,0.2,-inf,0.407083822065589,0.6739198619216773,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformity,0.0,0.2,-inf,0.407083822065589,0.6739198619216773,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MaximumProbability,0.2746840496658507,0.44284768738146274,-0.689037446380253,0.5130506581188895,0.7445348602159662,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceVariance,0.5037306464390732,0.3578306574182905,0.4933755090062987,0.5160980281042493,0.7445348602159662,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEntropy,0.3887814902619624,0.5282144165876786,-0.44216414318477787,0.5137054945713061,0.7445348602159662,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEnergy,0.36667879840536877,0.5441038091337163,-0.5693650774350494,0.5075294420291693,0.7445348602159662,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneEntropy,0.2924812503605781,0.5013781191217037,-0.777554893153842,0.48968594161719103,0.7445348602159662,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idn,0.31710089788071105,0.5286028733162805,-0.7372423045481099,0.49687663258185155,0.7445348602159662,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaEmphasis,0.7219922693736759,0.5216498457121652,0.46890165835949954,0.48839753060097757,0.7445348602159662,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.6666666666666666,0.49066666666666664,0.4422223286050742,0.5712754895601001,0.7734191243275201,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idmn,0.35714979986553663,0.5440637028349105,-0.6072462694345636,0.5676206358415927,0.7734191243275201,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.5816132952844129,0.4218837522719724,0.463214721588314,0.5603429011029419,0.7734191243275201,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.6666666666666666,0.49066666666666664,0.4422223286050742,0.5712754895601001,0.7734191243275201,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.4997260697328123,0.3653976905571305,0.4516699669685167,0.5971625975231962,0.7753356567649048,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformity,0.4997260697328132,0.36539769055713334,0.45166996696850803,0.5971625975232011,0.7753356567649048,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceEmphasis,0.3471396186954183,0.470106252808527,-0.4374708418200036,0.5991230075001537,0.7753356567649048,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Contrast,0.36944296786033526,0.4834380212348293,-0.3879792741237828,0.612648635356681,0.7813489842230135,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.4999999992284096,0.33370376247737193,0.5833601398032265,0.6284084276592485,0.7899991662001982,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceVariance,0.5846781185822838,0.46455634998906276,0.3317889958936827,0.6386521194192036,0.7915688240688722,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.6817204301075269,0.5684301075268816,0.26219724849468684,0.6895165961624399,0.8427425064207598,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneVariance,0.4465993343139207,0.5700344103793638,-0.35206791010159555,0.7329978511628363,0.8716731203017513,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaEmphasis,0.39473693152030565,0.5059210737045488,-0.35802083076155167,0.7320968065487202,0.8716731203017513,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Median,0.621792535573736,0.7009728501566824,-0.17292526966462432,0.7765685746282606,0.9111737942304924,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceAverage,0.4400266745975294,0.49330916589268126,-0.16490111029860968,0.8114372256607632,0.9395588928703573,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceEntropy,0.6296346854391395,0.5696252829815733,0.14450183634350136,0.8294768860569385,0.9441559201844577,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.5478955007256943,0.4994355749072767,0.1336021679800929,0.8459776265201292,0.9441559201844577,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Correlation,0.42179727936743167,0.4676021686031232,-0.1487318310445118,0.8475945192565018,0.9441559201844577,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idm,0.539812576876102,0.5038713496354262,0.09940316365417687,0.8728892905522692,0.960178219607496,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceEntropy,0.52241970668452,0.49148031642990586,0.08807568074351826,0.9117374124923934,0.9666613530039833,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_InverseVariance,0.5429813336865301,0.5145163292497898,0.07768573792129792,0.9047789179865251,0.9666613530039833,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Id,0.526640499017887,0.5008567377791451,0.07242046777555844,0.9091803906116156,0.9666613530039833,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.37693632297937896,0.40037184263363057,-0.08701969069350748,0.9227754962518604,0.966717186549568,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.5461366347756735,0.5299137955092454,0.04350424958989356,0.9475509489448162,0.9695870175249282,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.4904255319149051,0.5089361702127746,-0.05345063888139532,0.9368181685894064,0.9695870175249282,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Mean,0.6527291254338659,0.6487427452857416,0.008837914957175263,0.9854615221875682,0.9967886661207587,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumEntropy,0.6344044608957269,0.6335396259358334,0.001968057289388912,0.997562139619323,0.997562139619323,r_amygdala,male_P45_nrxn,male_P45_control
