,binWidth_0_05_vISO_male_P45_nrxn,binWidth_0_05_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.6861930767795916,0.34232508133643724,1.0032475711389353,0.12448794614603345,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SizeZoneNonUniformity,0.0,0.5199999999999999,-inf,0.07077644647325572,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.652579865917542,0.28777243981217604,1.1812260458863708,0.15320422206712367,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Id,0.09389836997029022,0.5143857973184595,-2.453678790302498,0.07138988026928506,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idm,0.08845586251510085,0.4832477360244269,-2.4497333060579654,0.09494760752517548,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.14814814814814814,0.43925925925925924,-1.5680321047712789,0.1735695382636621,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idn,0.25269120966210945,0.5801062660118497,-1.198941724362137,0.18008992213549974,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_InverseVariance,0.8839914434930254,0.3567992929438176,1.3089196489368333,0.03070419061760445,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceAverage,0.9197078986676681,0.5736373617125459,0.6810367390558947,0.1634735036446422,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunEmphasis,0.8220204074332944,0.42066478159341897,0.9665031710894133,0.08915614135056006,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunVariance,0.18182456140319636,0.6039812454327776,-1.7319566560585553,0.034707183956585445,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunPercentage,0.9148296593186451,0.45290581162325055,1.0142920875690338,0.046599994311977415,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_SumEntropy,0.0717503962868058,0.39867835086968173,-2.4741665607636185,0.11093561903448958,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.776752958353697,0.34163437192890383,1.185002698820064,0.07870469802839229,0.45279751851211364,r_amygdala,male_P45_nrxn,male_P45_control
