,binWidth_0_05_vISO_male_P45_nrxn,binWidth_0_05_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_10Percentile,0.6302095441064739,0.21681284156953015,1.5393813948301371,0.09060041966816668,0.24338856272030587,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumAverage,0.25688459133889296,0.7988437390748668,-1.6367929708732856,0.12198388664030808,0.24338856272030587,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumEntropy,0.29663679603646287,0.6474422385777103,-1.1260539221453671,0.07321699158441822,0.24338856272030587,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumSquares,0.1849031201803406,0.5939315207254026,-1.6835270304181147,0.09256772810067694,0.24338856272030587,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.7166983676736738,0.3027911004899465,1.2430432658346546,0.03429102436191682,0.24338856272030587,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.10077892602136984,0.5909033132606496,-2.551728101264841,0.0686241084007957,0.24338856272030587,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.25004377490583407,0.7955831473941541,-1.669832028175151,0.12407159712909084,0.24338856272030587,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunEmphasis,0.23866026003134388,0.6268834017263678,-1.3932387720492776,0.08281811638271216,0.24338856272030587,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.2371835012451424,0.7587834120778583,-1.6776844821757633,0.09880094822024428,0.24338856272030587,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.742922233893325,0.21153346046015878,1.8123253156002581,0.12656706971051168,0.24338856272030587,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.7442598580214173,0.2000593041315372,1.8953787001956526,0.12595397656790477,0.24338856272030587,r_amygdala,male_P45_nrxn,male_P45_control
