,binWidth_0_05_vISO_male_P45_nrxn,binWidth_0_05_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_glrlm_ShortRunEmphasis,0.7943207705534547,0.1291903694228836,2.620223201135113,0.001347800585549961,0.11860645152839658,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_10Percentile,0.646407187071638,0.11625186702738297,2.475189352401752,0.021407099889552327,0.18044913200746626,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MCC,0.15941694897276093,0.60773764332178,-1.9306436326327796,0.028055269352238364,0.18044913200746626,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.29494682224696334,0.8209408217990173,-1.4768233622074451,0.016101758728288854,0.18044913200746626,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.2990114854279472,0.8697182462169077,-1.5403472000784328,0.02226993384631476,0.18044913200746626,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc1,0.7794027579439744,0.2506422182562692,1.6367395933956264,0.0238998667010853,0.18044913200746626,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.29901155157207904,0.8697188639617977,-1.540347905660273,0.022269872959321972,0.18044913200746626,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RootMeanSquared,0.37419745821612066,0.9084804619880934,-1.2796557289042696,0.02336120618714673,0.18044913200746626,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.2950549837595637,0.8353226694094772,-1.5013497641263827,0.027117736935062593,0.18044913200746626,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc2,0.27040696026994804,0.7947437015545067,-1.5553573908252267,0.02091864260151156,0.18044913200746626,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_90Percentile,0.3599519109763636,0.8840694367075287,-1.296355508843626,0.02432405687048479,0.18044913200746626,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.3414288243496854,0.8742535448903455,-1.356466880975247,0.024622718374874248,0.18044913200746626,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
