,binWidth_0_05_vISO_male_P45_nrxn,binWidth_0_05_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.6638169906601937,0.16731300458114315,1.9882359715027076,0.02090835364750363,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.5650673650349923,0.124696381845995,2.1800032650663153,0.021336160321669566,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SizeZoneNonUniformity,0.09936635944700457,0.6986550135070713,-2.813750833818988,0.015070793178501275,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformity,0.059536637931034475,0.5774137931034483,-3.2777559115405595,0.022024853542476987,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Variance,0.2406590126029514,0.7688249533053282,-1.675664708805501,0.015118216551775079,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunEmphasis,0.7143360871356759,0.3126534614757205,1.192038516028856,0.02575323660651904,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_TotalEnergy,0.2406615696885047,0.7688361752605555,-1.6756704375238554,0.015118239628651874,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RootMeanSquared,0.328135937450569,0.8400379553032631,-1.356160907945954,0.015937191263260136,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,0.2771559459280188,0.8046716682821025,-1.5377022790563928,0.02184746087760466,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceEntropy,0.16072836548921376,0.5749969843771524,-1.838929830109223,0.028626588574372024,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.2299164524421592,0.7835115326655437,-1.7688448035479223,0.006296718762457999,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.6941381013226839,0.2913468134008978,1.2524851895055127,0.028888695252904377,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_MeanAbsoluteDeviation,0.3211607919392835,0.8424984549980007,-1.3913782646140946,0.01830918562514588,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunVariance,0.2075163853375681,0.6357433985568782,-1.6152193212403856,0.018029730365507396,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunEmphasis,0.2327424252602177,0.6996365647698365,-1.58787147492271,0.010506429104509293,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_InterquartileRange,0.2585563185624881,0.7893027334107549,-1.6101001837597393,0.02388408221476571,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Energy,0.24066156968850466,0.7688361752605555,-1.6756704375238556,0.015118239628651855,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_90Percentile,0.3389496300097776,0.8629856213305231,-1.3482656261090882,0.0165999387970056,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceNonUniformity,0.6941381013226846,0.2913468134008991,1.2524851895055076,0.028888695252904658,0.13380027275029527,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaEmphasis,0.5946493506542933,0.1239515330671465,2.262263083995436,0.03416109785033353,0.13480333901330008,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZonePercentage,0.09999999999999999,0.6199999999999999,-2.6322682154995127,0.030859769881001264,0.13480333901330008,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceEmphasis,0.11764228784788533,0.6022823337397363,-2.3560331957194562,0.03523269087847616,0.13480333901330008,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_ZoneVariance,0.796344583066483,0.2578355748737923,1.6269414953070394,0.03411914540804611,0.13480333901330008,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis,0.17771693676886344,0.5623696107171694,-1.6619374567256684,0.0405383121713984,0.14269485884332236,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceVariance,0.22112139691191735,0.6019372362554071,-1.444774430670106,0.038992773714647655,0.14269485884332236,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.12996923712105346,0.5308708943107554,-2.030190858930131,0.04240970801242622,0.14354055019590412,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.7287259534353847,0.3605908197854191,1.0150137049845303,0.04685938045601096,0.15272686963440607,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.8308472761998846,0.4525674839581441,0.8764503759246066,0.055341679809192454,0.17393099368603343,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_InverseVariance,0.7338156981145634,0.3489123850195185,1.0725529592462089,0.061438009248437564,0.18643257978836228,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
