,binWidth_0_05_vISO_male_P45_nrxn,binWidth_0_05_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.6690736322389468,0.14025777357230967,2.2540842574583606,0.012573528996619102,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.7353728346075942,0.19490090805050864,1.915735070777631,0.016845602738009245,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.7426210045989571,0.20005086489859555,1.8922592555163886,0.016885292187938897,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.6755015504364208,0.14342489810307718,2.2356635878618984,0.016902648987082634,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc1,0.604974164304014,0.13300777781323553,2.1853629209816052,0.01599613300846274,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc2,0.4123785197333879,0.9150298597406709,-1.1498496364218032,0.01233550938984401,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.6772501909713223,0.1301670594185218,2.379324494556197,0.012594515925607314,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.25372600441764226,0.7955809558774535,-1.6487373532289615,0.011188352434446429,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.6655156344712038,0.18376512326127967,1.8566095748523501,0.017995959379842646,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.26832361794864956,0.8106577143941189,-1.5951188442719992,0.009756599764997587,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.7473980507761886,0.2024620578921561,1.8842252339966394,0.00998749903796134,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.6049630156000572,0.1052128604703541,2.5235358857849293,0.01954415030520425,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.778545378666816,0.1910452895336667,2.0268664447257687,0.01200232700777936,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.8029890448315744,0.228478400797515,1.8133225186347528,0.014447870353907506,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.28287416386872244,0.7932031038854683,-1.4875299078719761,0.010105760209311442,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.2433327166516368,0.7868385407085888,-1.693137318005335,0.018963766184300717,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.26380333211603857,0.8088998266543737,-1.6164982643319077,0.018732192163708517,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.2896359657847624,0.8285856375571912,-1.5164100519211214,0.01693053652095364,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.5869740738500573,0.10594348439978685,2.4700019184595523,0.02115090615692157,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.3038346209611098,0.8447257944202068,-1.4751968360326755,0.018031444761455455,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.812805744472423,0.250924917393872,1.6956548576981443,0.017494060112783223,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.7178127111326408,0.1695818207178374,2.0816259504976298,0.011579840739121118,0.05317942119454566,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
