,binWidth_0_05_vISO_male_P45_nrxn,binWidth_0_05_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_firstorder_10Percentile,0.6406178578793478,0.3364613257018671,0.9290233304245854,0.07916590251396283,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceEmphasis,0.4180402872404815,0.7386474686660567,-0.8212439953805157,0.07869775623264115,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelVariance,0.41640506255333554,0.7127668287229731,-0.775442588512915,0.09455146695325255,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelNonUniformity,0.7297961859174649,0.3415454503879616,1.0954160364179473,0.02886770298733411,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceEntropy,0.5307633984724953,0.9147805158875982,-0.7853567521350617,0.05338376700031647,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZonePercentage,0.4090909090909091,0.7532467532467532,-0.8807010716276553,0.05743439974344654,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.7370504329617085,0.19892143926134334,1.8895645650063742,0.003544034770387677,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformity,0.3773659071944921,0.7884194564733189,-1.062999289633454,0.018171315865985152,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.5439623767102617,0.877766482313276,-0.6903303110800816,0.09277750274360498,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumSquares,0.3929564881908587,0.7347178955768875,-0.9028208422077857,0.05258098630396856,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumEntropy,0.4635744367951382,0.8128706863923931,-0.8102248498203719,0.055086901767262136,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEntropy,0.41382347334378355,0.7526885630642628,-0.8630375685722467,0.06079998461570838,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointEnergy,0.7294831464999509,0.27852372080311694,1.3890744458159463,0.03274512877710712,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceEntropy,0.48520105619738185,0.8134107909225208,-0.7454014391454251,0.08381478895871469,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterTendency,0.4596249096126064,0.8276053532363623,-0.8484859893604807,0.040379161577093224,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Variance,0.38854344070556435,0.6966847153312746,-0.8424300054324422,0.0746776634681502,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.5808618074287883,0.27110174967486456,1.0993605492491012,0.078729951648123,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_TotalEnergy,0.388932642332379,0.6969508078166019,-0.841536509043648,0.07490879192259842,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_90Percentile,0.42342788177779545,0.7297128354366674,-0.7852125598584864,0.08964595592577976,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Energy,0.38893264233237956,0.6969508078166021,-0.8415365090436465,0.0749087919225988,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Entropy,0.4241539327814232,0.7267111232515301,-0.7767940500556098,0.08846650142661339,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_InterquartileRange,0.3741995348893395,0.7127492277119503,-0.9295868055703681,0.05304064285922731,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.37351710073916566,0.7134309970920427,-0.9335996038076799,0.051907489928271315,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Uniformity,0.7297961859174649,0.3415454503879616,1.0954160364179473,0.02886770298733384,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RootMeanSquared,0.4270688161117145,0.7338301600460028,-0.7809776413168528,0.08040147298339455,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Kurtosis,0.7401484872174021,0.3341841619328505,1.1471713695425192,0.057064413474164265,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.3992850136889542,0.7223775434635955,-0.855334119976682,0.06374414893124461,0.3081677441439342,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelVariance,0.44630483130020626,0.7317098557218596,-0.7132422672690822,0.11421725036976434,0.3399428761319996,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceVariance,0.4869369827478178,0.7920581856804685,-0.7018713394410955,0.11281155197888629,0.3399428761319996,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MaximumProbability,0.5587856959297062,0.21095866685797765,1.4053347310951467,0.1197526040919544,0.3399428761319996,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformityNormalized,0.17376569217683802,0.5489816142414847,-1.6596145647219032,0.11591914987196793,0.3399428761319996,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.4567711124180134,0.15023625535869983,1.6042384038494575,0.12476989003232879,0.34311719758890413,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Correlation,0.4828894878449801,0.8025592160402641,-0.7329147865685572,0.13007077048260796,0.3468553879536212,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LargeAreaEmphasis,0.38723217214287575,0.08804711090802224,2.136851249268258,0.14761800411737025,0.3510914692521238,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_ZoneVariance,0.39400349656748807,0.09268614795913266,2.087782785070445,0.14231827739732786,0.3510914692521238,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc1,0.649361041568048,0.35503594400000604,0.8710557415835336,0.1433267731850155,0.3510914692521238,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SizeZoneNonUniformity,0.44343451263671996,0.7398488544214498,-0.7385095091055216,0.14388817531781325,0.3510914692521238,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Maximum,0.33062166608303667,0.6780788903772408,-1.0362718624906784,0.16005958095260273,0.3618195377427526,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterProminence,0.4931295376608228,0.7566325731413517,-0.6176262154295917,0.1603518405905381,0.3618195377427526,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunEmphasis,0.47052528989869247,0.7882638345953783,-0.7444063181289676,0.20083222120701288,0.43105452356627155,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.1709927951322945,0.4890862298081139,-1.5161533085515284,0.1961852139211311,0.43105452356627155,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Contrast,0.2545740773777192,0.5419131155760752,-1.0899760433706076,0.21601134544350212,0.4420697302099578,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceVariance,0.580685205438569,0.8469922864935228,-0.5445925532195558,0.2131858700467013,0.4420697302099578,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunVariance,0.47431303800715585,0.7468191029216331,-0.6549193047630498,0.25261567746047525,0.4783763761863325,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformity,0.3903973330521695,0.15030796130494703,1.3770217713930584,0.255496473644973,0.4783763761863325,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.3903973330521704,0.15030796130494756,1.3770217713930566,0.2554964736449723,0.4783763761863325,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_InverseVariance,0.4872620858739216,0.23715056267090162,1.0388946786117979,0.25153007324729293,0.4783763761863325,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Minimum,0.4821068603464048,0.7524701347384065,-0.642281363647293,0.2635790726326913,0.48322829982660076,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelVariance,0.8019052396591053,0.546781401189441,0.5524675945227621,0.29316467680974184,0.5264998277399445,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.48850683627924374,0.26700722267898896,0.8714999836842305,0.31666986505546335,0.5573389624976155,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.5161283927681382,0.7095382663464601,-0.4591504958713229,0.4243704820819014,0.5835094128626145,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumAverage,0.5029664917220739,0.3006025074667042,0.7426052455220885,0.40030581594643155,0.5835094128626145,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,0.2236112816400284,0.4536708385424175,-1.0206529509432136,0.4208583945719514,0.5835094128626145,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Autocorrelation,0.46671681891233974,0.25740023146999724,0.8585341072216852,0.3635698904318362,0.5835094128626145,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MCC,0.5402770222766998,0.3168515123483823,0.7698924245351221,0.3534254596291085,0.5835094128626145,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,0.463906216137834,0.2584914816801459,0.8437164389936105,0.3739025806905121,0.5835094128626145,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_HighGrayLevelZoneEmphasis,0.5746404247946293,0.3824757863388829,0.5872910701301333,0.41971699422299547,0.5835094128626145,r_hippocampus,male_P45_nrxn,male_P45_control
