,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.25864195735954676,0.8117273273889971,-1.6500388530103205,0.006066718240103987,0.5067048786663382,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaEmphasis,0.37126297117654516,0.8596396623776503,-1.21129061626927,0.011516019969689505,0.5067048786663382,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_10Percentile,0.5716787017481808,0.4637972587976151,0.30171024957420123,0.7171959981559818,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaEmphasis,0.5191225822656309,0.41454182651021243,0.32455757318374434,0.7155461194692477,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,0.11907337570303152,0.3389565539200828,-1.5092494975708757,0.36874160301598,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelVariance,0.2635326893009031,0.2335726842900984,0.1741103640213249,0.8965837171531632,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.6030001509559776,0.6916222846351175,-0.1978259912502238,0.6993375102946033,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformity,0.3640636674095615,0.4764943921187985,-0.388268464281048,0.6438403030301272,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.7810725576602062,0.5808469386707336,0.42729853031178394,0.4891601485419058,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.10555956161831205,0.28611925402168525,-1.4385593208324658,0.4752080083748039,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.3931176445320146,0.34746547281783646,0.17809149228115703,0.8516271000028213,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.5932197371164691,0.5379781905857822,0.14101891104253192,0.8086367828457262,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.38378906250000355,0.35859375000000143,0.0979632537321683,0.9097506793829074,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.3865326172355452,0.31793836773390965,0.2818430333444188,0.7764255308211565,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.4047082319466475,0.29647514578076795,0.4489710290977152,0.6613742124798465,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunEntropy,0.32028316824911673,0.28202377996543293,0.18353116819172297,0.873015491080906,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.79545952745063,0.6129422281777318,0.3760374273141353,0.5370342677488751,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.7890124411946104,0.637824796886599,0.30688786219383946,0.6080859845953139,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.12720795222169423,0.2992230378921211,-1.2340323945768952,0.49789513133005947,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.5932669188981161,0.5156431924332068,0.20230822411625646,0.7196366175718284,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.2701375761477482,0.3588211592054776,-0.40957063382534675,0.7491571534694075,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.6362254094118769,0.5583782282039128,0.1882953006836201,0.7639186169510055,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.7656594008397553,0.5285594898920868,0.5346369028034144,0.42716391312233903,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SizeZoneNonUniformity,0.2348604653671481,0.5930593819556368,-1.3363726850045021,0.0748614405248264,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceEmphasis,0.3538687839153032,0.5932023718411215,-0.7453098643611403,0.36436060718629554,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.8021226429499305,0.6308833812828072,0.34644949088754395,0.5671097076284692,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.7691970969751407,0.6476712416217685,0.24809163192643816,0.6775111399209688,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.11884930902880765,0.29082556827809813,-1.2910205953928173,0.5023594508973026,0.9646927376608385,l_amygdala,male_P45_nrxn,male_P45_control
