,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_10Percentile,0.6067434778742933,0.3899337550702576,0.637857646639808,0.4394728675620294,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.4999193663959304,0.32221422894435825,0.6336752120206648,0.4370403048712601,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaEmphasis,0.3252368923982007,0.3005611278457674,0.1138324802742126,0.9235208758021384,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.527623658245308,0.4605454387781915,0.19616575148472587,0.8147312193437104,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelVariance,0.5874521877971539,0.5973639271011733,-0.024138683725594485,0.970422106933587,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.4624165707396222,0.38994414446404163,0.24592561050182066,0.7959465847974653,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.4614647748045691,0.4857987041653894,-0.07413811549595037,0.9266770052135057,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.3323206791303839,0.6203787829709059,-0.9005732772844361,0.3108097058410489,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.5954506936755664,0.4983165840455315,0.2569194626873281,0.7279252468720423,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.28418115461957,0.3223294871008185,-0.18172528806191582,0.8854989458111624,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.5471564635878086,0.5709036277020031,-0.06129378797395768,0.9163050029250484,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.5340111056671569,0.5702106810387069,-0.09462531820216387,0.8706176345461059,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.5218284521053329,0.5423805658643872,-0.055729878321824126,0.9271953160766568,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.5030588688984652,0.5272324713951739,-0.06771198952955088,0.9136678942833562,0.9978740772248502,l_amygdala,male_P45_nrxn,male_P45_control
