,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.6520274569310418,0.5224025557929363,0.3197707626279485,0.5812040790679214,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceEntropy,0.42749703870987954,0.6553251474929574,-0.6162964684471224,0.3139406053680286,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEntropy,0.3608678828853189,0.4983311972218033,-0.4656341448503215,0.5563292441497155,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MCC,0.07084936823814014,0.46716124986783825,-2.7210937165450777,0.06923449800933362,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneVariance,0.6179365598112916,0.4038084639918704,0.6137875816028484,0.379181008965507,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumAverage,0.2504369360170729,0.46761647617612284,-0.9008784075123247,0.32709074834816054,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumEntropy,0.36347585336121835,0.5092770639116676,-0.48659121929886473,0.5340147463520167,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumSquares,0.3530361429504787,0.5294813040988717,-0.5847638532437165,0.478613537783513,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.6486605277517166,0.5050620986607598,0.3610028689328668,0.5509404304037664,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.1890850920733357,0.4153661924720347,-1.1353481747775902,0.28534778449783743,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelVariance,0.3503786239550908,0.5642819055909986,-0.6875013274086199,0.4110881494544478,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.18832430915771073,0.41874284984015536,-1.1528453192088512,0.29362969416637763,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneEntropy,0.2662230652651796,0.5543136623053024,-1.0580669963920624,0.12199750610810617,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.1884495212951164,0.41921632264305514,-1.153516760636493,0.2968833051584947,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.5079883085766527,0.35767303810251266,0.506153923500181,0.5511334528960683,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointAverage,0.250436936017073,0.467616476176123,-0.9008784075123247,0.32709074834816054,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.5114909792805743,0.36430806830872675,0.4895498499290394,0.5613018155568468,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.33323791573997585,0.4607687157897843,-0.4674902077480915,0.5861410374715019,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.336774355895872,0.469932293212085,-0.48067062473590627,0.5653230586213639,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.40653059416019754,0.24513288926225468,0.7297998665818312,0.5341494917393694,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.15521590312690722,0.42636765670950416,-1.4578216217557922,0.21784515523801695,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.347721470010411,0.48229896132131456,-0.471995554309876,0.5596770328707914,0.8096887040284132,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
