,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_glcm_Idmn,0.10022014892225428,0.6659796406732482,-2.732305487414061,0.0030991964398087084,0.2727292867031663,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.7906304069376024,0.40468586139324164,0.966200994878134,0.049413887070669855,0.545887069890406,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idn,0.12552956791834724,0.5828498532174458,-2.215097057055438,0.015757411444867565,0.545887069890406,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.6711100163353347,0.2736225466514351,1.2943621755386752,0.08135807511194741,0.545887069890406,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.7413482333716824,0.32448858566265404,1.1919836483121136,0.04225402100468466,0.545887069890406,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.7579907383272106,0.33898368807121904,1.160964368221515,0.03465244658952768,0.545887069890406,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.7212388976028544,0.3281421565579305,1.1361562564018672,0.052303758479246766,0.545887069890406,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Range,0.10363999474374029,0.4509324606860531,-2.1213305196549195,0.08496787838297068,0.545887069890406,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.8929882312746654,0.550044228411941,0.6990935334204607,0.0902918171329332,0.545887069890406,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.6240712880301225,0.2301116691813243,1.4393766925505111,0.09388520072696452,0.545887069890406,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.6772413067588083,0.30287016706652103,1.160970491134159,0.059982771046776864,0.545887069890406,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.7498029554920371,0.32988809759006005,1.1845347860986066,0.042458797064504755,0.545887069890406,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.6653461641026865,0.2714373203010594,1.2934860439721863,0.08919399522008349,0.545887069890406,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
