,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_10Percentile,0.4850282636569996,0.678450367227734,-0.4841744588419262,0.40748565618596944,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformity,0.3595986607699083,0.25277378067535683,0.508540822272736,0.6636094048342053,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.5484084609628055,0.3129774561642015,0.809192086240354,0.18353425140404353,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.12819677131708368,0.3320778135129423,-1.3731614103964003,0.3259786561892534,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunVariance,0.5896590551689069,0.671672246309508,-0.18787639799898595,0.6999479049798928,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunPercentage,0.3880516684607125,0.3136706135629737,0.30699838206366714,0.723076871332499,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.3757005362413861,0.29605171467736574,0.3437339655447309,0.7114267718491285,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformity,0.39392846045985364,0.31651476440402393,0.31566085389820425,0.7129318136611653,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.747959964890565,0.6086624968588087,0.29731857491439245,0.5290179510058219,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunEntropy,0.42639996541455005,0.32606090198426757,0.3870658634189384,0.6417583203266597,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.5297561586653797,0.30404855700271777,0.8010267121126942,0.20799124773047198,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.1190781142737915,0.3343439344563862,-1.489424664430124,0.2991757203065632,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunEmphasis,0.6541046334619312,0.7246672077787512,-0.14779717775336024,0.7545264881245659,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.12571995885863152,0.3330219378878216,-1.4054035131229103,0.3175155716697941,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.35005461280014993,0.26440487274939545,0.4048312529928117,0.7049067957514001,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.16345909662856356,0.32515917280418344,-0.9922164565986967,0.4428510552354764,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.5923301316057916,0.7381957314017484,-0.3176019179188323,0.49542009208187365,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.5436496531332733,0.3114797157446881,0.8035390129521987,0.19053666415076329,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelVariance,0.18330734039446428,0.432099803674687,-1.237100016843963,0.3514573150056453,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,0.13338093652254435,0.32011890257540426,-1.2630553845409096,0.374142836748014,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.0865806398606854,0.3406151271821758,-1.9760261407784314,0.23292613018284655,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceEmphasis,0.400908896564511,0.3002081996575094,0.41731105050487444,0.6601803270720891,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LowGrayLevelEmphasis,0.545204689014634,0.31244439934540735,0.8031984904336109,0.18890548464252366,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.5301154246687756,0.3030885297434421,0.8065672640727439,0.20483589421633341,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.12088177081761796,0.33631910081566335,-1.476234017166428,0.29762226788237917,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_HighGrayLevelEmphasis,0.12588070380788763,0.3342913779757971,-1.4090489955455612,0.3143195026551608,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelVariance,0.3472908881786909,0.251116365113325,0.4677885081297665,0.6690092579559543,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelNonUniformity,0.6505381868344156,0.7863153621650817,-0.2734742942862483,0.5440969394776426,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceVariance,0.4728650893413938,0.28840434096576056,0.7133357548089188,0.3865961340503092,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.4564641614345333,0.6428014823345833,-0.493871662224128,0.42535614184543236,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformity,0.45646416143453217,0.6428014823345836,-0.49387166222413204,0.42535614184542825,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceEntropy,0.5106561206145441,0.2286427926152527,1.159256654694134,0.2271013172229786,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZonePercentage,0.3609271523178808,0.26887417218543047,0.42477650247911247,0.6974818691180653,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneEntropy,0.40509773010501315,0.4938504685539723,-0.28580427763417887,0.7441722968434652,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.4138024793574574,0.21034627865676175,0.9761759944608998,0.30092890122585797,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.13669388620866138,0.31686813275692766,-1.2129338578264461,0.39423486747638636,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.423949150962891,0.21113356485266524,1.0057352877230945,0.27338902448794655,0.8311450614909254,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
