,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_gldm_DependenceNonUniformity,0.8126068832084203,0.33020501919334605,1.2991955352887172,0.0037261516428668266,0.08197533614307087,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.8293253613957511,0.2519405905560177,1.71885463598307,0.0015095034119257623,0.08197533614307087,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceNonUniformityNormalized,0.8126068832084203,0.3302050191933466,1.2991955352887148,0.003726151642866858,0.08197533614307087,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformity,0.22059711963952156,0.833031071010882,-1.916956353677397,0.0031945127582467927,0.08197533614307087,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.8389276641615045,0.31685479217571205,1.4047245855432666,0.005479392065136398,0.09059231046193819,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_SmallAreaEmphasis,0.18076601768061407,0.6573968323048653,-1.862641014668018,0.006176748440586694,0.09059231046193819,l_hippocampus,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformityNormalized,0.17543685475643733,0.6398860045037325,-1.8668630596989897,0.00747671679936992,0.09399301119207899,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceEntropy,0.6606932766006408,0.22090603252118085,1.580547847049119,0.013867043196280187,0.13558886680807294,l_hippocampus,male_P45_nrxn,male_P45_control
original_glcm_MaximumProbability,0.1917196570743338,0.6313955605931179,-1.7195458524019842,0.012762883205397613,0.13558886680807294,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.1729708319105545,0.6865995621751362,-1.988940160773549,0.024829051559397162,0.13655978357668438,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_DependenceVariance,0.1177068821290903,0.5454671359124881,-2.2122936027397557,0.017035519248037107,0.13655978357668438,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.6328614269387072,0.2092487199127669,1.5966708407395587,0.022600667411854514,0.13655978357668438,l_hippocampus,male_P45_nrxn,male_P45_control
original_gldm_GrayLevelNonUniformity,0.32735274681242776,0.7284409415406602,-1.1539659257011663,0.023552761807295135,0.13655978357668438,l_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.21027589206258246,0.720645937035953,-1.7770071623190735,0.018793769492653233,0.13655978357668438,l_hippocampus,male_P45_nrxn,male_P45_control
