,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_firstorder_10Percentile,0.3030786178107605,0.6542500985321112,-1.1101501629359145,0.1229288672101525,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idn,0.41386220504559823,0.704721096078002,-0.7679018983245609,0.21415573267063587,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_InverseVariance,0.6814286857658374,0.34735452987285387,0.9721537693982178,0.149526003899881,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointAverage,0.4991388376931657,0.7982435443558412,-0.6773878168769194,0.22844908532757013,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumAverage,0.4991388376931653,0.798243544355841,-0.6773878168769202,0.2284490853275697,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.46586575571244343,0.7681074303306564,-0.7213938192045626,0.2467909874509121,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.4372824538436815,0.7565077563655408,-0.7907894134740079,0.2135491385493799,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.3809769972518811,0.11564701847552764,1.7199758208816514,0.23333576799145955,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.38475818476772666,0.10774898467360745,1.8362777418475034,0.2135868891391305,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.46980608626813203,0.7572935088325925,-0.6887871592812855,0.26497654847789703,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.3887615853116608,0.10801770488483249,1.8476178690538732,0.20558465027931272,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.7025838863614746,0.4304205987661566,0.7069233659504878,0.2117453045004927,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,0.45990799879098654,0.7384941819670541,-0.6832412656287611,0.2624793418125298,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.28114156069299767,0.6078369346207559,-1.112387600775316,0.17931298748818944,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.33734902305376907,0.07645234320881641,2.1416093589368472,0.23934583647321686,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.338131100759853,0.08143157504611574,2.0539225068712565,0.24767815940874946,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.46484545640952496,0.770007756153661,-0.7281218236758041,0.24420830433712218,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.4313794333247605,0.7558743835844949,-0.8091891019175207,0.20403540323542654,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.3820342061447495,0.11719709881561464,1.7047649617806955,0.23544208372433714,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.38656946956048965,0.10871189340237311,1.8302179169436177,0.212850612228613,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idmn,0.46099296414795177,0.7449912352385326,-0.6924787206288255,0.2242945356268854,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Correlation,0.44261394181307767,0.7049497647263484,-0.6714715585594894,0.19102093991648772,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.4002391718016013,0.11564080698332653,1.7912117905271407,0.19655664846033846,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Range,0.37664672283016637,0.6494149090142027,-0.7859285292110916,0.25027851898449877,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.7384732119210867,0.4242911925411529,0.7994908568485426,0.1795177356766399,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_90Percentile,0.7618699136732089,0.4751090253458473,0.6812860712004088,0.2506745131289631,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Minimum,0.7067976321278933,0.39170461769955034,0.8515310707353981,0.1691684377822599,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.8151083033144444,0.4393614276962392,0.8915835441330222,0.1099248465179227,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_InterquartileRange,0.8411278648603793,0.4484257670684905,0.907455950356365,0.09874273000890245,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Kurtosis,0.07934334638280541,0.4311101948866335,-2.4418755288022895,0.08604291425204937,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Autocorrelation,0.4632746876472455,0.7693772505661102,-0.7318233130369285,0.24261630494448716,0.7521914924533851,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.35394916448986147,0.12983559802268405,1.446856177550847,0.3144825312239379,0.7791559682596421,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_MCC,0.2515703208464636,0.475531794586591,-0.918580075033836,0.29527165382672166,0.7791559682596421,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.450910368010186,0.683606587387695,-0.6003256162430753,0.3187456233789445,0.7791559682596421,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelVariance,0.3965769509524524,0.6104132711786268,-0.6221854979953002,0.30191363087558154,0.7791559682596421,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.4833579881656802,0.7174682648055427,-0.5698229352341008,0.30883859626082755,0.7791559682596421,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.5038859547463908,0.3249031806960737,0.6330873761183201,0.43783181016031514,0.8540389511996219,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.5276310506910593,0.3202657162904046,0.7202600994209845,0.3593471394737018,0.8540389511996219,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Id,0.48042322045419894,0.6543173391414925,-0.44568461904937967,0.44642945176343873,0.8540389511996219,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RootMeanSquared,0.6806620647286405,0.5066452207909773,0.425962855359832,0.44421507526552373,0.8540389511996219,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Energy,0.6640098749157527,0.48811193911699763,0.443992656787626,0.44004593706086537,0.8540389511996219,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.5109997555609889,0.31879736005866943,0.6806829185345058,0.40377759657238244,0.8540389511996219,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.5058048665047561,0.7040741243247572,-0.477146404882484,0.41004442105657957,0.8540389511996219,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Skewness,0.44696878409596874,0.6287902571679662,-0.4924047854535696,0.3736529924157545,0.8540389511996219,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.664009874915753,0.4881119391169978,0.4439926567876262,0.4400459370608648,0.8540389511996219,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.6640079962544093,0.4880968290876372,0.44403323587799576,0.4400129574594521,0.8540389511996219,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idm,0.4773849970084729,0.646644935601526,-0.43782053746167043,0.4575771933979398,0.8567402770003979,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.4921254423207069,0.3430288629962398,0.5206961319047532,0.5267948864622283,0.9299091691022536,l_hippocampus,male_P45_nrxn,male_P45_control
