,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.37377269053746554,0.6682086470489625,-0.8381374888504484,0.11113248354384814,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.5972256452875071,0.47310457803214867,0.33611699587356153,0.5715672548081838,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.4084867556288291,0.2702061962225978,0.5962285444633212,0.5496247523105604,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.3329116655721328,0.4454735473583279,-0.4202003407875328,0.6437579803006148,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.6246222878434287,0.44109568761872886,0.5018923927246153,0.394260551603524,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.30773630962111864,0.5480521589094678,-0.8326185266445775,0.21463194848834907,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.6196486928104572,0.42658496732026097,0.5386173908674282,0.3538872266360125,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.6217011363734708,0.4334948938330367,0.5202062159606108,0.37908123497524876,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.35536132233679624,0.4851784908526885,-0.4492289272545893,0.6037357787751743,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.6123622597120932,0.42490408009789327,0.5272481742863999,0.37681935237794434,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.4032541629364379,0.27080338225738165,0.5744436690358433,0.5646217481512192,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.38692851485165086,0.2757859355995595,0.4885181678370877,0.6283120702004622,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.3185339026071921,0.4983890145268415,-0.645825337463954,0.49624418660101377,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.329112349553189,0.5504551447555223,-0.742044843976502,0.27028711107369036,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.33064637919251644,0.45775251790189275,-0.4692787185478899,0.6075213723852986,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelVariance,0.5964022294914495,0.35990066492879447,0.7286868830703935,0.36975397314502256,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.4600731491234722,0.704069394535999,-0.6138543708221761,0.26747548711815133,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.6110959449929068,0.47441122121174784,0.36526077362385023,0.5253270831666041,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.6093936922982759,0.2979681845541789,1.032216271412429,0.24109038812851458,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.3031568715403717,0.42976014128712076,-0.503467160351922,0.6133676656577965,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.38823223568220494,0.28154893691639044,0.46353420930204897,0.6381078279981567,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.4026126677809859,0.27025623348766065,0.5750646715918486,0.5646322246868565,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.38911641982288026,0.2740615617825566,0.5057018613566273,0.6159794277258395,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.32431217318418776,0.4945090502714834,-0.6086137478180912,0.5179841876087945,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.37357088926024407,0.5696948009890603,-0.6088072037587352,0.34263886406043054,0.7553426968860547,l_hippocampus,male_P45_nrxn,male_P45_control
