,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_10Percentile,0.23844615889150966,0.5306654625018516,-1.1541391136754893,0.23567399306507442,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MCC,0.2786533344889205,0.5442530229521972,-0.9658060981714203,0.22055323087595086,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumAverage,0.5023534427543787,0.20105768395796658,1.3210932903038766,0.4023128585351659,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.5574900395213165,0.2966628195078078,0.9101219027000755,0.3190686375340972,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.5008737792079192,0.2011516314572043,1.3161636492336504,0.40469223493182693,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.491497867228094,0.2320426441414099,1.0827951921118442,0.43336051153616917,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.47014907795070277,0.74378121230882,-0.6617600178337107,0.39217579674993447,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.46740693038320247,0.7808750848798749,-0.7404126560566303,0.36171472636817326,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunEntropy,0.46276987649231316,0.6975280826746371,-0.5919563445959172,0.3507304568040625,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.49893230559453394,0.20949687075919524,1.2519153914415388,0.4059908190303187,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.4427010235816749,0.7562268005285271,-0.7724862699225938,0.34002215025049737,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformity,0.6672242217084023,0.3498864340768339,0.931284933770817,0.184487590219193,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.7479269391114405,0.4385312884841691,0.770217567760451,0.21722814023171827,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelVariance,0.2917772600174172,0.576017006849123,-0.9812439581269434,0.24726367825438955,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointAverage,0.5023534427543769,0.20105768395796594,1.3210932903038761,0.4023128585351673,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,0.5352413036277077,0.2863162701544869,0.9025797955242308,0.43904843885109934,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.33349881999439457,0.5620781574337317,-0.753089095547787,0.35285497571503255,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.35454586192165993,0.6784569396197833,-0.93628499552628,0.23761989102935635,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SizeZoneNonUniformity,0.8093410368101027,0.39110628923800383,1.0491870119857338,0.09938702995109383,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaEmphasis,0.7263707249236224,0.5462171850229367,0.41123135382586046,0.41581827867830023,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.5357824552698145,0.23981103120463915,1.1597493158356196,0.32184584753175877,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.3754080494656293,0.6746894415669218,-0.8457640001749475,0.2787891700608619,0.8791338496839487,l_hippocampus,male_P45_nrxn,male_P45_control
