,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glrlm_RunLengthNonUniformity,0.5991624623528028,0.28439935438876973,1.075029051579163,0.1212641435750275,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterTendency,0.49093262868163307,0.11849664306083177,2.0506788662075803,0.11583821965128363,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelVariance,0.4807641693942586,0.1219243000557062,1.979343688079444,0.12089042473632264,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.49926702358518227,0.20310242659827066,1.297604143741064,0.14458153870462168,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.6116363235674798,0.30712481441007683,0.9938490065373795,0.13607528786911824,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.6476827918595383,0.35040397476462903,0.8862682738795249,0.1495744943719126,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.39867623163887034,0.7101169740085505,-0.832839095102064,0.12081457957645349,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.41147958268444584,0.7222271700366688,-0.8116318482448802,0.12354845211993051,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.6001013556485456,0.27085993811458947,1.1476591632938729,0.16605379514318436,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idmn,0.4278497373708916,0.7871956351752175,-0.8796180162687384,0.06587722257791243,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_GrayLevelNonUniformity,0.28937182942903944,0.6287476066507145,-1.1195565220308785,0.12797449448024448,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceVariance,0.19459635855838292,0.6213461594179741,-1.6749125216578746,0.04950071716900219,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.5458634968259353,0.18904344769231388,1.5298223779942004,0.07516895271976923,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceNonUniformity,0.5458634968259355,0.18904344769231393,1.5298223779942006,0.07516895271976909,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.20029529229253745,0.523416188202984,-1.3858300320294783,0.12925354887509455,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.5836058840475866,0.27655379831731086,1.0774342720810286,0.16343319495461414,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.16627324714236918,0.5489281087834217,-1.7230611547489705,0.07841223210724478,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idn,0.3651657298778117,0.7448032778783003,-1.028308044771655,0.04658065674480131,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterProminence,0.4528046748994188,0.09021725676264883,2.3274135292998035,0.10695965849308775,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelVariance,0.48140680115909895,0.15952519637466375,1.593472213913139,0.15169245321115044,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Variance,0.4781442626140633,0.12257366715605249,1.9637968904571195,0.12166091530024772,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_90Percentile,0.44342811082148736,0.10358741488936403,2.097851494956553,0.13588422641854794,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Energy,0.38986801137764837,0.07413042204911979,2.3948481563749544,0.15886938117891652,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Entropy,0.5932476980842796,0.2681921992041733,1.1453673227171668,0.16913528219285456,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.5488770962492163,0.15169128182145356,1.8553449675319977,0.06650598386182656,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Kurtosis,0.15455774349989687,0.6361702229324055,-2.0412669090823403,0.04154974942698784,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.6727845665351676,0.353564899451554,0.9281695543211378,0.11495993889951751,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_MeanAbsoluteDeviation,0.5407384303476717,0.17315908189131288,1.642832836226217,0.10727860581170286,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunEmphasis,0.1984150785779986,0.5090462307969406,-1.359275017923224,0.1324089152644585,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Mean,0.40238275737459284,0.08648417566635729,2.2180603984133067,0.15914106007621767,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.16737615332778366,0.4890790095067629,-1.5469735511606604,0.12232152605437216,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.2482188986497268,0.5817430642705894,-1.2287691432895684,0.10649920229891954,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.5522679184984779,0.1571252399906709,1.813453374816167,0.0742062735171387,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RootMeanSquared,0.406349334141759,0.0889883968697851,2.1910313886804893,0.15704013904522524,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Skewness,0.36531218543882404,0.7898978953605529,-1.112536300752505,0.06512706937383467,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_TotalEnergy,0.3898680113776482,0.07413042204911983,2.394848156374953,0.15886938117891686,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Uniformity,0.2893718294290394,0.6287476066507145,-1.119556522030879,0.1279744944802444,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Median,0.3872964825892564,0.06657305324661786,2.54042815757525,0.1636822814175299,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.4781014271709326,0.11952059803078077,2.000057440355144,0.12009726783111314,0.38163858546080004,r_amygdala,male_P45_nrxn,male_P45_control
