,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.6048643141489969,0.8504158189608596,-0.49155688640923206,0.25216453884190143,0.9926826771154853,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.3967403868816718,0.5342615584703585,-0.42935094855398037,0.6102035046005525,0.9926826771154853,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.4972969561174536,0.5515137344570442,-0.14928921334713482,0.8191137894534126,0.9926826771154853,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.334980909566051,0.41157341115584123,-0.29707090365560784,0.7891236195553387,0.9926826771154853,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.3267456561658459,0.21803330526703596,0.5836195286183964,0.6399514207668286,0.9926826771154853,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.6252888748411127,0.7483798234775035,-0.25924781465155133,0.5860804128138765,0.9926826771154853,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.39970286000649874,0.5746392014189412,-0.523728519953234,0.41865514088020916,0.9926826771154853,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.5572321057199041,0.45867399601126235,0.28080926543858864,0.7534755950723282,0.9926826771154853,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.35346527013290935,0.3586889174962601,-0.02116470122642309,0.9853212226638802,0.9926826771154853,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.4820367314703605,0.4496054666472826,0.10048350776275572,0.8907368516753468,0.9926826771154853,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
