,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.36371475185969276,0.782242066025727,-1.1048076797885955,0.01855769891423754,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceEntropy,0.6174829445339657,0.27180783417032356,1.183812249914764,0.07774667604611213,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceVariance,0.566182381930189,0.2407722561774218,1.2335976950514862,0.11389825606627897,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.43394582981144003,0.7436633951939248,-0.7771348012990968,0.11078982904007266,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.42808322202037963,0.7458512880055903,-0.8009967138484883,0.10164418242074688,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.16738407178749704,0.6718533536743422,-2.00498412035864,0.019442554543281098,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.1614393256279838,0.6161452539591661,-1.932278447947917,0.031481545928857865,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEnergy,0.33501297987593004,0.711211872930835,-1.0860624156353909,0.03786034302640112,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.6051059939367093,0.2460078371099943,1.2984835990425914,0.05221735122984945,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MaximumProbability,0.3369303010094373,0.6936954663549274,-1.0418522763092004,0.041023757316735895,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumEntropy,0.5959985994226711,0.23204150943943097,1.3609260311482472,0.0482061908108426,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.512031557337763,0.18200650195368098,1.4922427387946233,0.09302311770555073,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.326286610678972,0.7516706601192942,-1.203960905382428,0.02685593731178379,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.3803830182751173,0.6774810680636209,-0.8327277911787926,0.11556248599649227,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.6792583457668617,0.24074766901983152,1.4964385567584897,0.0836056886040709,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.37233834247364944,0.6836724297654866,-0.8766910584306103,0.0963055796942619,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.3528312631898509,0.7649446974461424,-1.1163770513759095,0.0681305188262492,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.0756984801591197,0.45199526648571114,-2.577971424299141,0.09576408457580894,0.2824860768803144,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
