,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.3078268858000165,0.7598967579571991,-1.3036841795434988,0.02489508268531422,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc2,0.6631134662520445,0.17630994378728193,1.9111419087945214,0.029725269104231032,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.6709787393809605,0.23520617499655222,1.5123411174085466,0.028640620735062062,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idn,0.2687255944961029,0.7140420558144243,-1.409875313025687,0.04232916405376201,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idmn,0.34583204115244826,0.7818287479285772,-1.176781093565482,0.04583630290816405,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.37916141496366423,0.7622549336674197,-1.0074614259746897,0.03821259715923808,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.36656072656081046,0.7461708921780319,-1.0254538589806113,0.039104291194312406,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.49879215381878644,0.08976050992757909,2.47428599422765,0.051934641473987006,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceEntropy,0.5769744362348621,0.1960106719891459,1.5575751940057887,0.04265413199385477,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.5385504741014184,0.17141269615808935,1.6516075929399239,0.05270837278263991,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Correlation,0.6595894008622154,0.1639215521981149,2.008562665241688,0.027989977044509253,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.4122208158502224,0.8937471526070138,-1.116449382234227,0.04135727051029356,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterTendency,0.5066785313938618,0.08677615129053058,2.5457001953039544,0.04862535381960153,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.6185780294066774,0.23789932367581845,1.3786044225072835,0.03877253583455549,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.6246234799336159,0.2390685672857474,1.3855623449618255,0.03598594715255589,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.6420382717682129,0.23213446442772293,1.467698566727048,0.03308788244204798,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Variance,0.4891046475837477,0.08557206256275218,2.514931403837851,0.05750648192343567,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.6997021746867214,0.3218686197014254,1.120269046196447,0.04164602482792964,0.17421742774839158,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
