,binWidth_0_075_NDI_male_P45_nrxn,binWidth_0_075_NDI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.27902379467483596,0.7693535032081609,-1.4632584834015352,0.012987070444131913,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_DifferenceVariance,0.5695859058384719,0.23514893148786492,1.2763386712366176,0.07707778569847887,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Id,0.40408027287468684,0.7495703476551607,-0.8914219612453085,0.06164933177715716,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idm,0.40544810545927046,0.7583760038253065,-0.9033960445680608,0.05684379260427949,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.4129514597902689,0.809107307953964,-0.9703588423330813,0.04738429825106876,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.5934332705433187,0.2152866066172808,1.4628272435325023,0.05458926272822401,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumEntropy,0.5852805094535019,0.20777556888972573,1.4941022098159333,0.06672051250233711,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.35817666259475933,0.7494754796667491,-1.0652099388241405,0.07117887593564959,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.37329431119456613,0.716113880112656,-0.9398755076112134,0.06457274947937844,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.596215159150326,0.2664593468660664,1.1619176163663008,0.07404206882538832,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.6140250620901233,0.2779195758316432,1.1436300846569638,0.06943697461967688,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.6026126766122033,0.27021864393401246,1.15710380400608,0.07173533632226675,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.40357646095055255,0.7338535361087317,-0.8626501258717371,0.07548372714065252,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunEmphasis,0.6295092372005637,0.283724371335013,1.149737467260409,0.06513751930061686,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformity,0.8485911985387959,0.20352744522294747,2.059846363464166,0.010214989615229965,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaEmphasis,0.22988478292465442,0.6497861068396877,-1.4990539266025835,0.055907363875470496,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneEntropy,0.6688552226297875,0.2659965751236607,1.3302862952059258,0.04622409638632334,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZonePercentage,0.723529411764706,0.3047058823529412,1.2476343125400482,0.05339273080028234,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneVariance,0.23069042762621403,0.6504541749029515,-1.4954892799087705,0.0558204633384699,0.186283806248111,r_hippocampus,male_P45_nrxn,male_P45_control
