,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_firstorder_10Percentile,0.5546971768712214,0.7340791698912245,-0.40423528215201354,0.4047536350088947,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.5381939383719083,0.6596471518145646,-0.293568384688991,0.582014898410856,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaEmphasis,0.5000697065438564,0.4593798281274154,0.12244170365525192,0.8687454043948736,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,0.34758668968614576,0.5253266786797682,-0.5958420161677235,0.4473606319192597,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelVariance,0.17532031027053607,0.41610395087669316,-1.2469508495662347,0.28166771816724057,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.7781046454394438,0.501026903082051,0.6350761205927747,0.2428423076282577,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformity,0.38663733674818396,0.27473431855624064,0.4929438257333084,0.5949598104664925,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.5448235558476408,0.20429397517900266,1.4151424224127427,0.17416792948855553,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.3551305383492721,0.5393381335999836,-0.6028406166187117,0.47067947583921044,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.38940092399723475,0.1905137329327083,1.0313613111402227,0.3461155236113977,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.4046269854732216,0.4826164404349115,-0.25428452246936467,0.7503706591441809,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.48121387283237205,0.4382553862322737,0.13490641226387295,0.8567036527769087,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.45479309268482204,0.47798472156602256,-0.07175416123995029,0.9298571836060754,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.5240492575276257,0.4988453853111885,0.0711096943594902,0.9165793762620523,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunEntropy,0.3767888082703976,0.4746838883052263,-0.33321096939665407,0.648718486841126,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.5566772386971781,0.21148147663959893,1.396309790514349,0.17530415106696265,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.5628476845423169,0.2273866452835822,1.307597033754656,0.18121550733291222,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.364754824096668,0.5465110537013393,-0.5833236173015739,0.4709358027611452,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.6024347951146289,0.6269316845330117,-0.05750314521199748,0.9253230537360841,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.568870867090455,0.6247248311783032,-0.1351196745050561,0.8414032421870792,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.356900376734539,0.5419465765209293,-0.602629217750716,0.4731231616026401,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.502825283841551,0.14736943512818815,1.7706198593222544,0.1630288884584537,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.6648233608894445,0.3516463907114473,0.9188456675241811,0.17683882808401472,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceEmphasis,0.3798617832425354,0.3088980893974443,0.2983436264649204,0.7557217863164243,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.5610712200953775,0.2153760832142244,1.3813258599195317,0.17676680769280456,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.5620186603244276,0.22397615949232536,1.3272728551971815,0.18170960042737147,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.36011171544266735,0.5459674775071466,-0.6003704792461377,0.4662895445078413,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.4694677936734628,0.557217448313002,-0.24721424435326073,0.6911446908410162,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.3554258989533381,0.5401868797088895,-0.603909788873383,0.4740545668014726,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelVariance,0.3724738327338746,0.43542251521168324,-0.22527693358852902,0.783013790992426,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelNonUniformity,0.5589409841868171,0.5297819397469568,0.07729730096989425,0.906808609342437,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SizeZoneNonUniformity,0.3956793331158901,0.26345560436136223,0.5867718435227193,0.5225009639653053,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceVariance,0.3174853349801685,0.4683063397155104,-0.5607626150615529,0.4752533283587056,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformity,0.827451735716533,0.47863402607908545,0.7897522020035145,0.08840665962241084,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceEntropy,0.21287959330204398,0.5079564691084443,-1.254667206842921,0.1356159394910148,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneVariance,0.5028852013677062,0.46379623767579614,0.11673798233523304,0.8736429942198586,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZonePercentage,0.3819444444444444,0.3314814814814814,0.20443453186892202,0.8267302762509718,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneEntropy,0.290320574483654,0.589649325273882,-1.0222103969074277,0.1911446919832159,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.5168310974531332,0.14579809194662216,1.8257210395389902,0.15500624626316872,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.3487104839411871,0.49466954479688796,-0.5044353409360054,0.5451939180618979,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaEmphasis,0.6826519969650664,0.3849995098752624,0.8262936981743336,0.18944420636300402,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.8274517357165339,0.4786340260790862,0.7897522020035139,0.08840665962241102,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelVariance,0.37635521487118906,0.43866049282284597,-0.2210098164978132,0.7857827577789827,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.5515981103482464,0.5245916865636211,0.07242256975190013,0.9144436853547281,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.6308865848076994,0.5624149561811336,0.1657457134015105,0.7601007430332332,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Autocorrelation,0.35505947564132656,0.540342617567912,-0.6058137646045313,0.4731090550864865,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.439253702898129,0.35277230173299157,0.3163171574586233,0.6981849365346351,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Uniformity,0.5589409841868189,0.5297819397469624,0.07729730096988363,0.9068086093424494,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.43925538358412985,0.3527731543787175,0.31631919056256275,0.6981814702924657,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Skewness,0.4791758667006301,0.6561983508145117,-0.45357671821426104,0.37736127163766436,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RootMeanSquared,0.45473402872682456,0.3804478201080158,0.2573243720147999,0.7420457163203449,0.9741360971111266,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
