,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_gldm_LowGrayLevelEmphasis,0.9843782204614302,0.35470848019213974,1.4725789163579674,0.011784501549704857,0.21324205321333245,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.9670828883054504,0.34217854216959526,1.4988902558011752,0.011924462915121547,0.21324205321333245,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.9632765871064459,0.3419211971147937,1.4942862366249459,0.012106900490435404,0.21324205321333245,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.9679176738959643,0.34740088121444096,1.4782829309083967,0.011778791155251048,0.21324205321333245,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.936212796602579,0.33716966822368477,1.47336172732625,0.012116025750757525,0.21324205321333245,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idn,0.25086643946615883,0.6980415980914365,-1.476393530809742,0.020406580480710968,0.22447238528782065,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idmn,0.3195028301389957,0.763449641114849,-1.256704286150264,0.018455880669362316,0.22447238528782065,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.9306701467107233,0.3196973353985175,1.5415632107291701,0.017766732306176453,0.22447238528782065,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.7257478991193116,0.26860514867987073,1.4339815316610982,0.04417009868755911,0.23004817884842324,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumAverage,0.0008916603641218601,0.5018812697882626,-9.136636102098025,0.026515906836451563,0.23004817884842324,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.0006889962842296232,0.45897622371238783,-9.379707502018947,0.038332208813023495,0.23004817884842324,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.010410691755960544,0.44798684676247696,-5.427318535032877,0.044580067811393315,0.23004817884842324,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.005804765527617592,0.468626942095619,-6.335058295788158,0.03607471131506535,0.23004817884842324,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Autocorrelation,0.0005280287705955733,0.45865250137392355,-9.762569252962086,0.038451359965510114,0.23004817884842324,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointAverage,0.0008916603641219156,0.5018812697882622,-9.136636102097933,0.026515906836451626,0.23004817884842324,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.8030295668154803,0.31096022926124284,1.368723030990691,0.04705530930990476,0.23004817884842324,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_HighGrayLevelEmphasis,0.001241093330218379,0.45953451699567804,-8.53241781023257,0.038247559599968055,0.23004817884842324,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.005953231637173886,0.4436934689528246,-6.219746477032162,0.04549080340372429,0.23004817884842324,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.5522716175933704,0.16611313898434368,1.7332117960796527,0.0541324331422921,0.23829479398785675,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Range,0.02134214540440188,0.42230262415587705,-4.306500097476901,0.056581314735189646,0.23829479398785675,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.12919656277591635,0.5248623166090143,-2.022371332295529,0.05686580311073854,0.23829479398785675,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,0.03539532515633456,0.4474616445309475,-3.6601332890916924,0.06670187008605731,0.26680748034422924,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Minimum,0.8946351551474966,0.5030368402389398,0.8306353902636281,0.07024227197446102,0.2687530405979378,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.14381299451179103,0.49407971642255266,-1.78054979040967,0.09023618284762687,0.3308660037746319,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.048069738809006765,0.3958329844277492,-3.041690966347746,0.11494307700189824,0.40459963104668173,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaEmphasis,0.11295957793816536,0.416620196827955,-1.882926176496126,0.1214219641155445,0.41096664777568903,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_MCC,0.12140169121616134,0.4753406999141174,-1.9691734146999078,0.14904957793047552,0.48579121695858685,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Maximum,0.03174027956880965,0.3348751081036586,-3.3992364011763905,0.16235833748474893,0.5102690606663538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_90Percentile,0.4831738249739209,0.20629075782663825,1.2278631140059746,0.19191544173560482,0.5617242192285882,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Mean,0.4912839442205729,0.7702638949974949,-0.6487957118987299,0.19788012268279812,0.5617242192285882,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Kurtosis,0.07889170635850151,0.35434698587114805,-2.167217230059724,0.1964127830764984,0.5617242192285882,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.7523826558417055,0.4619145647890667,0.7038405547668785,0.23372446197651828,0.5876500758266745,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceNonUniformity,0.7523826558417057,0.46191456478906706,0.7038405547668777,0.2337244619765178,0.5876500758266745,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.14798443698206853,0.38843626497598827,-1.392232438636767,0.22695451048402865,0.5876500758266745,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_10Percentile,0.46365826310605396,0.7127663649234093,-0.6203673922330485,0.2335709726223982,0.5876500758266745,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.9496248946871462,0.6788939945338581,0.48417143277095215,0.2441157030107738,0.5967272740263359,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelVariance,0.0721284391169108,0.33054480856501006,-2.196205747471194,0.25106791001579454,0.597134488686214,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.5360554875691999,0.300834704782596,0.8334113347584087,0.2774879398973134,0.6261266336144508,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunVariance,0.30460848171126864,0.5214068236140565,-0.7754533497466146,0.27106486762012116,0.6261266336144508,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.5077927231789594,0.2815066347741689,0.8510707955835644,0.2924447917615778,0.6276863823175328,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_InverseVariance,0.8572289868815322,0.5786460012780055,0.5669996156472094,0.2897617084659275,0.6276863823175328,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceEntropy,0.24043178183493463,0.48138991574607387,-1.0015783068018607,0.32801606067914213,0.6674986463781556,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LargeDependenceEmphasis,0.2656773345024117,0.47224550635686063,-0.8298619150411054,0.3337493231890778,0.6674986463781556,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_InterquartileRange,0.5311978836406115,0.3159283319757243,0.7496520772182114,0.3187175092437621,0.6674986463781556,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Variance,0.4663604706469022,0.2877770079712911,0.6964941767725173,0.41215114751326676,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Correlation,0.1731322767906613,0.363167655544322,-1.0687610097223192,0.44752256674186297,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.4663747817525335,0.2877805796769976,0.6965205420676692,0.41212853517291037,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.48100658853304934,0.31110775199487295,0.6286423117589585,0.438553653080052,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunPercentage,0.6834845951755444,0.5009792213995702,0.44815805430847694,0.37077047866040724,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.6480750628253551,0.4804809623207184,0.4316816524166277,0.40787260842710293,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformity,0.6840030781670889,0.5000337706452985,0.45197728449482466,0.37150312368647925,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneEntropy,0.27360458600553283,0.4330415682106531,-0.6624131056643288,0.4391112616129407,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Energy,0.4663747817525336,0.2877805796769974,0.6965205420676709,0.41212853517290937,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Median,0.3541762172739847,0.5540830784756429,-0.645634969044449,0.3873608872722515,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunEmphasis,0.3674785108259222,0.5357494016290107,-0.5438984461620886,0.4067962419427195,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Id,0.3616933585717099,0.5144999110807831,-0.5084037203719729,0.4502524399833401,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_DependenceVariance,0.29044753770955667,0.4933342329829883,-0.7642878015805299,0.38050072134960344,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunEntropy,0.36372849964102194,0.5177284863404814,-0.5093337286448936,0.44247373919486976,0.6831416330781712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformity,0.4615379484679035,0.31378812454756033,0.5566585197927683,0.46363480543400926,0.6915230996303867,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterProminence,0.24504265822177868,0.38853876328863557,-0.6650256164690806,0.48489699691963994,0.7111822621488053,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idm,0.38801180005540736,0.5268265502681573,-0.4412275266265928,0.4978934409581255,0.7182725049887712,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.6127197247559044,0.47988576161222624,0.35253628710142915,0.5330842815961201,0.7566357545235253,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunEmphasis,0.6110359937165759,0.48575932168301816,0.33101568473265985,0.5484327025260485,0.7660647273379725,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Skewness,0.19893618728718432,0.3159907214804583,-0.6675764647518462,0.587273013339652,0.8075003933420215,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceVariance,0.3621941134595781,0.46845475619171567,-0.37114661859136705,0.61044827704102,0.8264530519939963,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceAverage,0.5764056156563186,0.47446758519469867,0.28077486291760756,0.6364998444058261,0.8486664592077681,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZonePercentage,0.4678899082568806,0.3908256880733944,0.25964381663301966,0.695325069449755,0.895741360696116,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterTendency,0.4222026205557863,0.5049163443476479,-0.25810884544073986,0.6960576087349266,0.895741360696116,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_ClusterShade,0.18869158427433452,0.2750357586495484,-0.5435891226189101,0.7023426578185454,0.895741360696116,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SizeZoneNonUniformity,0.45336587380354865,0.49335966370121004,-0.12196396879220117,0.842510677913155,0.9560161536604155,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelVariance,0.45944145399313907,0.5013546442601626,-0.12595045414017775,0.8570065850494308,0.9560161536604155,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Imc1,0.3551827483100751,0.38805218311336037,-0.1276891613077372,0.8799694141647005,0.9560161536604155,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumEntropy,0.500526016920992,0.5646510994616374,-0.17391463377520403,0.7677980646905617,0.9560161536604155,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_ZoneVariance,0.41957463365554426,0.3888899282524035,0.1095655878070924,0.8780119725743021,0.9560161536604155,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_DifferenceEntropy,0.49010977535496547,0.5489783080190765,-0.16364422269201478,0.7964367424669103,0.9560161536604155,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceEmphasis,0.47593410022332766,0.4289777558897777,0.14985898542244114,0.8123267941031863,0.9560161536604155,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaEmphasis,0.4176347262109806,0.384866078046444,0.11788515843979411,0.8698922287941646,0.9560161536604155,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.45733975207006594,0.5056240517912205,-0.144798768065181,0.8329817007492124,0.9560161536604155,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
