,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.39693897926355903,0.5360548290579644,-0.43346332934294646,0.568775468510359,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.3736272060267331,0.20062492178306596,0.8970986803320095,0.41456027040688825,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.4126991993630471,0.36449256878679487,0.17920123808938046,0.8075095418056647,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.45623581063865604,0.37838760311243375,0.26991486711609947,0.7206465542903694,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.4829779504942992,0.5436696481671659,-0.17077296115092486,0.766872957916968,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.3662133431673958,0.17362212903392732,1.07673351900288,0.3625144591758469,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.565094601153739,0.4861526333601745,0.21708306982321696,0.7600135172786743,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.5567170197735214,0.4775969664525693,0.22115051640483768,0.7663530546654592,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.4668033002911768,0.549454399465853,-0.235184992522259,0.7307265578144261,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.5430981082525952,0.47121399064789954,0.20483046364855306,0.794428337680796,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.4737902127183714,0.5241429368666366,-0.1457119003206462,0.8037534737162251,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.35376508077960495,0.1689911070330191,1.065844322123487,0.39350425748514634,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.364149389423224,0.1743740663300426,1.062344933969553,0.37061670269266817,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.4719955019426389,0.34895797877176415,0.43571979218879814,0.5316032154381125,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.3726303504722488,0.178414290049079,1.062514013338015,0.3616732863703909,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.4319977055632065,0.596982271450031,-0.4666644385583945,0.4762600323625523,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.4759866085305686,0.34684182274266384,0.4566431136050995,0.5193740433167577,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.5445865012488635,0.40847934269226727,0.41489810118082326,0.5532467802591072,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumEntropy,0.5981610912600746,0.48381507458943496,0.30607834899964487,0.6068639730619317,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.3490964361210278,0.19378775461179723,0.8491482185042238,0.49827925350212565,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.3284486389190364,0.6400799508136474,-0.9625843327829586,0.14760438405410048,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceEmphasis,0.5088006679426049,0.44185873266622455,0.20351536747514365,0.7880141983378646,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.47412676863757425,0.524392192857598,-0.1453733586769141,0.803516646323904,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.35964647406122086,0.17464093158007438,1.0421877289615613,0.38958560759330413,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.3639232642633402,0.1746112204198945,1.0594880115390466,0.37190114066961877,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelVariance,0.4855940113135411,0.3549940290390149,0.4519558705270172,0.5130396618972094,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.4179160311251908,0.5482076345058393,-0.3915093186706394,0.5560117787519478,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceVariance,0.6708303974485914,0.5686582616111588,0.2383861462414054,0.6627227617375869,0.9451293520741538,l_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
