,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_firstorder_Median,0.7453507902501532,0.14693880521463218,2.342704123236593,0.0023280843643012864,0.2048714240585132,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_10Percentile,0.2383409569187822,0.5906987081547815,-1.3093955687997167,0.13933610916457678,0.9482649143368902,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,0.5898359365819583,0.6522509097364169,-0.14511332796712076,0.817337964649736,0.9482649143368902,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelVariance,0.5526850579466825,0.5006747317987054,0.14258396236701137,0.8275424132483205,0.9482649143368902,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.3931136690219589,0.46004597818377596,-0.2268315262177555,0.8107656176817787,0.9482649143368902,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformity,0.6944343858982964,0.4269570757786859,0.7017473511509672,0.25831288023142757,0.9482649143368902,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.36357187120610335,0.207370150596845,0.8100323417681056,0.5047065381277627,0.9482649143368902,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.6205207570314535,0.4232890543745242,0.5518362875447935,0.4831740164960733,0.9482649143368902,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.3264337519652116,0.5976256546182477,-0.8724518468406302,0.3129119969599478,0.9482649143368902,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.6114276499677489,0.3593205762201649,0.7669102426810488,0.3513712226411618,0.9482649143368902,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.6091085797289457,0.3849376068311706,0.6620748025095955,0.42564105928776064,0.9482649143368902,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.6207970628480854,0.36961598917103444,0.7480945643117209,0.35263349723762655,0.9482649143368902,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunEntropy,0.6361420518379868,0.5626166852329859,0.17719661972527193,0.771590106766358,0.9482649143368902,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.3436735024296649,0.19827685242011547,0.7935223609764063,0.5385777727893799,0.9482649143368902,l_hippocampus,male_P45_nrxn,male_P45_control
