,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_Skewness,0.15952580492551585,0.698651767448698,-2.130783731429146,0.007147919323381385,0.6290169004575619,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_10Percentile,0.29330169421061136,0.6330816305468799,-1.1100061304109146,0.17446387695115678,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MCC,0.25043848336790714,0.5473836131654611,-1.1280959763537903,0.15309957431318585,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idn,0.24826747671489713,0.6723595146199017,-1.4373375774976003,0.03216139375529005,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idmn,0.27082386636333666,0.6840571464713492,-1.3367619715313155,0.04606998103448706,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idm,0.28857756025951264,0.6246202743929622,-1.114020277718142,0.1728396367341988,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Id,0.274245056960301,0.6075647871422497,-1.147572639970047,0.16562350430673464,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_DifferenceAverage,0.6986939000377552,0.3791716727018407,0.8818093579794942,0.23029381076320254,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunEmphasis,0.2042911953694755,0.5403044483195636,-1.4031455321894077,0.1446818258199361,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformity,0.7427652626581045,0.40475395295971434,0.8758611750505547,0.14842928168303413,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.7361500146103945,0.3923001842717536,0.9080417793996917,0.16297590971847276,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunPercentage,0.7577929764566598,0.4251479679074041,0.833838726182038,0.14103746873489714,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunVariance,0.176467213145171,0.502423059605756,-1.509502519005844,0.14611617338115654,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunEmphasis,0.7385774329828703,0.3945127817311338,0.9046771395435618,0.18533774016837026,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_InverseVariance,0.850001825731316,0.5894376629457888,0.5281266936101542,0.1981441768778809,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_LargeAreaEmphasis,0.2502919526119221,0.5768857676496582,-1.2046737648707875,0.21253395601180508,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glszm_GrayLevelNonUniformity,0.6965724290493212,0.30455385804954016,1.1935759904987955,0.07883005281703309,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEnergy,0.3363565974432805,0.6776636987283107,-1.0105779347560133,0.22672810832645604,0.7237805481129223,l_hippocampus,male_P45_nrxn,male_P45_control
