,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_10Percentile,0.19706656433418857,0.590521004721842,-1.5833053573260203,0.14316870094370918,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Id,0.27428442739022874,0.6294055941386703,-1.19831728641061,0.14477402145532486,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idm,0.28739093474146316,0.624773012106641,-1.1203175805627252,0.160400820432358,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SizeZoneNonUniformity,0.6444797680330816,0.305200028441177,1.0783799725744898,0.0922442528272002,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.3941118876966845,0.7641268387663922,-0.9552068671339987,0.1482304275148917,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.25512714428764033,0.6804936672927686,-1.415365333157322,0.07644459901883512,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_LargeAreaEmphasis,0.20633229266071956,0.6142423875153394,-1.5738384407040429,0.08954965030409918,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_InverseVariance,0.7288854005508041,0.38867757282969817,0.907118138964985,0.058354238231988625,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointAverage,0.4999057699583343,0.1017777249124113,2.2962343313205507,0.10216725072107263,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,0.5456803743900368,0.1962584420046536,1.4753014450650064,0.1543094942161192,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_GrayLevelNonUniformity,0.7931713041013151,0.3974164395013096,0.9969809314478075,0.07165098743647035,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.5389218815198091,0.1978746038863446,1.4454897024745716,0.14887685509178122,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.4027089707982989,0.8184347252819055,-1.0231297480326416,0.10827875446612178,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumAverage,0.49990576995833397,0.10177772491241069,2.296234331320558,0.1021672507210723,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunEmphasis,0.741212797177691,0.4046796557923379,0.8731074668568006,0.18951517675066984,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunVariance,0.19502671439963137,0.6613815694038788,-1.7618110875605555,0.0626053451711829,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunPercentage,0.775854179377669,0.36720561317876843,1.0791974132880036,0.11393009684342044,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.5846427908887817,0.13880975384938157,2.0744464796215665,0.055219659693518,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.7362276809118282,0.38841371003033276,0.922557868453374,0.1756204692652276,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.47852139016292783,0.09695093073322818,2.3032567619477495,0.10443969488040283,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunEmphasis,0.22662386003761892,0.6367295752151056,-1.490381014034,0.1024940986337541,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.47710907927233914,0.1445001747913421,1.723247902876876,0.1620934973192936,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.37290909623395574,0.816441397213128,-1.1305253466173477,0.0836499417911173,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.4934941496500215,0.10826845526329024,2.1884200163569685,0.09294813391522187,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.4127775352884643,0.8532479812330322,-1.0476006392547763,0.10121479348761843,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.3865990600796589,0.7483114010111713,-0.9528006256853011,0.15295847354548756,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Correlation,0.14557687532697855,0.626427697839493,-2.1053667998346697,0.035534067351483074,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_90Percentile,0.8221212727117199,0.4288366534488608,0.9389230035277059,0.13062200191110318,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Energy,0.6662152160319772,0.37356589004650664,0.8346255749217973,0.18329073485607716,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_SmallDependenceEmphasis,0.7294112716781346,0.32079169728638146,1.1850956914625106,0.1105815909656628,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_InterquartileRange,0.8978380500916645,0.47317182238361416,0.9240910754756722,0.05194461570082824,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_LowGrayLevelEmphasis,0.41189383429987214,0.854526940043326,-1.0528534449545566,0.10184819007516073,0.34119518940793464,l_hippocampus,male_P45_nrxn,male_P45_control
