,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_10Percentile,0.48121207707460895,0.11082734297963459,2.1183589880057774,0.07098543227674559,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glcm_Idmn,0.4005104134457973,0.812482313144352,-1.02049665364623,0.06609876049473798,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glcm_Idn,0.3964461050635979,0.796322363649334,-1.006227822526033,0.05915108961161474,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glcm_JointAverage,0.6683807206946915,0.3127362356048412,1.0957237310052244,0.07527613714640549,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glcm_JointEnergy,0.33462320886936747,0.6798752316192894,-1.0227325005835064,0.12989920527164156,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glcm_JointEntropy,0.6535555776059127,0.280438340913404,1.220626321418086,0.12295938346330482,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glcm_MaximumProbability,0.36413550684817175,0.7080767276272467,-0.9594302752810928,0.1120516430036055,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glcm_SumAverage,0.6683807206946922,0.3127362356048417,1.0957237310052237,0.07527613714640533,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glcm_SumEntropy,0.7036677897645778,0.3349214694994572,1.0710716152729691,0.14344616751858127,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glcm_SumSquares,0.6674178135529458,0.30257393341656025,1.1413024874379538,0.1429146107177381,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_HighGrayLevelRunEmphasis,0.7508230375607381,0.3739758202862137,1.0055279226746838,0.07769276289927839,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_LongRunLowGrayLevelEmphasis,0.2354689019615298,0.5949373665334952,-1.3372012554498665,0.11210094030384828,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glcm_Idm,0.38386608657824395,0.7402498918729924,-0.9474092666521986,0.1321565019660101,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_LowGrayLevelRunEmphasis,0.08923331921625882,0.4337218337196906,-2.281115660820915,0.14579752499897883,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_RunLengthNonUniformityNormalized,0.6377916099208266,0.28753141572988017,1.1493655254519322,0.14330574717848704,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunEmphasis,0.6594118933561544,0.2978140302766047,1.1467681860028973,0.14081920538621115,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glrlm_ShortRunHighGrayLevelEmphasis,0.784995445965075,0.39900393634928866,0.976281305107924,0.093560662838731,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
original_glszm_SizeZoneNonUniformityNormalized,0.36247823269403384,0.7092876118133624,-0.9684763882217023,0.1402535025607513,0.28812983318058943,r_amygdala,male_P45_nrxn,male_P45_control
