,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.9465776530026689,0.32435137258762836,1.545163319026112,0.0021744241387681752,0.17725784495184183,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.6890962883956243,0.16055797101449285,2.1016112963650695,0.004727242272725987,0.17725784495184183,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.2827729007371583,0.8622336576106919,-1.6084350122402484,0.006042881077903698,0.17725784495184183,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_10Percentile,0.37594718873609073,0.7505100197421364,-0.997341319552998,0.09254778507847256,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumEntropy,0.5932648622860244,0.29443474020079596,1.0107284335472009,0.1758763509578092,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_SumSquares,0.5734181848692352,0.262705340705644,1.126142127394524,0.16544811709426147,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelVariance,0.5612051780865819,0.2634557184616925,1.090967825773848,0.176655066393009,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.46389680896259033,0.7756118071456605,-0.7415308435108557,0.14203198257505403,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformity,0.6775059045228682,0.31251963183345455,1.1162867000099819,0.05852333352352361,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.6747164872563038,0.3602574520754935,0.9052531422593891,0.08194547776469675,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunPercentage,0.5947712418300668,0.22614379084967312,1.395094507449338,0.05802626954060688,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_RunVariance,0.3731459671124413,0.6676695584721198,-0.8393941700742666,0.18424122436978033,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_ShortRunEmphasis,0.6794884041110834,0.4263364879745296,0.6724563971950306,0.1637781069138322,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformity,0.5317368053940945,0.17359389745202902,1.614996097415561,0.07352792323087354,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.6570043497575068,0.2990319944093338,1.1356030707399136,0.16993419085350397,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LargeAreaEmphasis,0.09159062944927322,0.3842593765453188,-2.0688085542005217,0.1597040223391623,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEntropy,0.6019596911388247,0.2881599825753657,1.0627968843092164,0.14549283964939339,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.827978722902335,0.400307573166387,1.0484847849249606,0.06914745429464114,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SizeZoneNonUniformity,0.58258505005424,0.14950553695596192,1.9622697645830915,0.02462764979366907,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_SmallAreaEmphasis,0.8869347771391838,0.44104617467666263,1.007898311899355,0.018452019059735786,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZonePercentage,0.5588235294117647,0.20588235294117646,1.4405725913859815,0.07884957024004395,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_ZoneVariance,0.25981556961561336,0.6746127891921603,-1.376571781170153,0.0582576271108149,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelNonUniformity,0.4435946865108784,0.7428042292410261,-0.7437399448085347,0.16578736333790176,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_GrayLevelVariance,0.5561065563557521,0.26317791788149913,1.0793229023898925,0.1853125280295248,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_LargeDependenceEmphasis,0.38510070371268856,0.8178112108711482,-1.0865320805772325,0.031967407224288764,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_gldm_SmallDependenceEmphasis,0.5750103513083459,0.20460858209013236,1.4907212689497946,0.061073414242215844,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glszm_GrayLevelVariance,0.8473095326462491,0.5371188522983222,0.6576477407413129,0.16332776479564529,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_InverseVariance,0.6636527152787792,0.17153263457278173,1.9519454076770637,0.035293015592095515,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.43339716036151543,0.7399478087664398,-0.7717338148990434,0.15446976886424443,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Uniformity,0.4435946865108704,0.7428042292410233,-0.7437399448085553,0.165787363337891,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_90Percentile,0.6725652855046292,0.3323625772581677,1.016916366633575,0.13119783209983973,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Energy,0.5903148796041779,0.2372455375417065,1.3151037559261354,0.12558780432098487,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Entropy,0.5983585267784606,0.2997384902566555,0.9973058268587875,0.1665923242236156,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_InterquartileRange,0.6794698118733575,0.3628947200354717,0.9048583886305056,0.18402142679489128,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Maximum,0.7789931042574478,0.43947614679115754,0.8258256943137966,0.10105550742427324,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.6474876657024224,0.2997924004907267,1.1108888979558673,0.13590175266443344,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Mean,0.18690313520182456,0.5230593447643541,-1.4846838699288114,0.1373455143257988,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.6821803155804866,0.35052207268034474,0.9606478315010444,0.16841231733970663,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_RootMeanSquared,0.6271011367568546,0.26893621514298416,1.221434092145295,0.1263078891315691,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_TotalEnergy,0.590314879604178,0.23724553754170655,1.3151037559261354,0.12558780432098487,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Idm,0.41530561138156763,0.7590477492518091,-0.8700172790005701,0.08738974946014225,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_Variance,0.5903253434942215,0.23726542627321287,1.315008390114614,0.1255927100142608,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_ClusterTendency,0.5709516660345098,0.2664211911479086,1.0996597803056372,0.18767389671765677,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Contrast,0.5756805379061984,0.2592970693336209,1.1506625392943717,0.14715593634593163,0.34406881064903744,r_amygdala,male_P45_nrxn,male_P45_control
