,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_firstorder_10Percentile,0.4938152276520388,0.8389900934170086,-0.7646824506079652,0.13951053879426087,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_InverseVariance,0.5455763362760191,0.17557635779689207,1.6356824784311006,0.16807610541971338,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEnergy,0.536839008243639,0.7903715118793107,-0.5580414417576705,0.26253122941477874,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_JointEntropy,0.45426617802374814,0.20961620368355174,1.115787650913963,0.27075239288066744,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.24694604904944506,0.4873552338437577,-0.9807778511077637,0.2744443066320087,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumSquares,0.4109020266676941,0.16071323467477336,1.3543057069401403,0.2562905947426278,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.6629485920162854,0.36140554537425446,0.875278358726664,0.21444811091378801,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_GrayLevelVariance,0.43307181194032274,0.1723056250471107,1.329636472188928,0.23339716849060033,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.5203882271545188,0.8375900672853731,-0.686656009857316,0.19401559819397035,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.4397912462691337,0.15288676363540557,1.5243553797030243,0.20655208255470442,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.4466677409350913,0.17163294919322586,1.379875524188581,0.22437029016612284,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.45069930069930075,0.141958041958042,1.6667006311764745,0.1876461396291817,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_Idm,0.5589453558951005,0.8522899709779331,-0.6086371079951345,0.197570945507653,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.5237960288358892,0.8648280804600279,-0.7234082453689595,0.17338750568901432,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformity,0.6090855994214779,0.21883922621985458,1.4767736355568897,0.12517792418875526,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelVariance,0.6510773286900684,0.3200866192118136,1.0243665347505415,0.1197376337964028,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaEmphasis,0.41852228327817115,0.7562297395253703,-0.8535201480570592,0.1673636831515497,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.1464608974891759,0.3798908369459707,-1.3750693727010646,0.27844712672020155,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_SizeZoneNonUniformity,0.4733014988409385,0.18312567652496894,1.369925401456112,0.2160712349810383,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZonePercentage,0.4888888888888888,0.14666666666666664,1.7369655941662063,0.12862270200209378,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZoneVariance,0.42441657210495043,0.7606313740779435,-0.8417164576734207,0.16814590695406345,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelNonUniformity,0.5372353698442132,0.7813277302346148,-0.5403735277514424,0.2639771391369109,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_GrayLevelVariance,0.42096284903182846,0.16880487115470583,1.3183363815652585,0.2457531469056528,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_LargeDependenceEmphasis,0.531642571919904,0.8584365618350873,-0.6912548887177437,0.1824646022672896,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceEmphasis,0.4568108759820799,0.17493280211178197,1.384796161331803,0.19270296909075163,0.5117973810070126,r_amygdala,male_P45_nrxn,male_P45_control
