,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.26073959763892907,0.6293811677362869,-1.271324314425738,0.1911997109932345,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEnergy,0.19123011847846033,0.5494530763802858,-1.5226865157377654,0.1651618285030067,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.7912333260867509,0.4253414596128341,0.8954817058216451,0.16471145689996913,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MaximumProbability,0.24538174190415096,0.5064071161129193,-1.045269771365601,0.29699881868164607,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumEntropy,0.7618592330303474,0.4342373168749777,0.8110407473382355,0.2300962944892557,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.7218749831752203,0.384481980587276,0.9088330224168655,0.22113017692016138,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.3654806724835413,0.6373599334930873,-0.8023132145552524,0.3067676947004687,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelVariance,0.6861342485582469,0.3863115551746174,0.8287260492929404,0.27652873287468127,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.17015438465459132,0.5426083048867837,-1.6730668008106833,0.13998853043470563,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.8228690759743862,0.4375699739277201,0.9111491626593622,0.14587054231113164,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.8157214570474218,0.42689739959845213,0.9341872271979159,0.14239168841312685,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.8254997620180873,0.43798191337458403,0.91439650479631,0.14396352812582797,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.18508601484996284,0.556105520377895,-1.5871627697418593,0.14257044370160118,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.8118046127390459,0.434484775256135,0.9018269129962696,0.1514778541978858,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.27842479188333313,0.5766133714967696,-1.0503166135572966,0.2782886161688176,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaEmphasis,0.22004916797544463,0.5835317556052451,-1.406985252265653,0.16661454214818816,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.1252345802891766,0.38551504720419727,-1.6221541915036581,0.20067179195140133,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.296405665998006,0.6059129815241586,-1.0315375892382423,0.2604487765934833,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneEntropy,0.8121705972404888,0.5875326072292639,0.4671138773326596,0.31276406830065695,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZonePercentage,0.621951219512195,0.3512195121951219,0.8244284354165456,0.28988792068226893,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneVariance,0.22107461434046655,0.5854850388215469,-1.4050989331212191,0.1667210328463928,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformity,0.7613290497125451,0.41454176530267084,0.8770026662266173,0.14256397079257815,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.7613290497125464,0.41454176530267367,0.8770026662266099,0.14256397079257987,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceVariance,0.33706271633459317,0.5826591357189805,-0.7896350774068582,0.3089274195718683,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.23087075560679138,0.5824717913784675,-1.3351027444066816,0.1822850160002694,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelVariance,0.6989296783615282,0.37996960145989217,0.8792633046791707,0.25406355745302167,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.1712386612449171,0.5524697260824881,-1.689886949091864,0.14134060055862263,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceEmphasis,0.7041445084477187,0.42894677626410616,0.7150728879768408,0.26175716319997266,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_InverseVariance,0.7891598031802487,0.5143709356163356,0.6175083466013187,0.2525639622254555,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.26398804348328486,0.5130803888584559,-0.95871229469674,0.23145777766722278,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.21229615532519086,0.5661261823614411,-1.4150454030338586,0.17727230116362572,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Kurtosis,0.21635267293606547,0.46244206039178853,-1.0958876762411611,0.28517151263958873,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_TotalEnergy,0.6950402330297063,0.368683742772485,0.9147126902195826,0.24970252018509945,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Uniformity,0.23087075560679116,0.5824717913784669,-1.3351027444066816,0.1822850160002694,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Variance,0.6935141383884976,0.3686867505640616,0.9115297230155042,0.2511363345636012,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Mean,0.6017353039182456,0.8350868207470814,-0.472797194380289,0.28469385934708447,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.7513684332122995,0.3801951790921763,0.982780267574086,0.19880731703927687,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.7070231334258306,0.354270021024738,0.9969080328954575,0.19069825887877917,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.7181049948488398,0.36996488705955505,0.9568064446364729,0.19432833680955147,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterTendency,0.7091673639700249,0.3864776561004558,0.8757411363474908,0.26056170863604283,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Entropy,0.7854086598936708,0.4264506194291543,0.8810648099214818,0.1913465426906836,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Contrast,0.7408872314997335,0.38149619089535525,0.957585318085048,0.17123647833085454,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RootMeanSquared,0.7291380375662897,0.38856533179486796,0.9080347778957062,0.2273504055299483,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceAverage,0.8141024527906848,0.4126237441888894,0.9803835228937244,0.13450853262243723,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.16848457678539708,0.5762694792796568,-1.7741270809124678,0.1282149011041405,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_90Percentile,0.7116794711114134,0.35304299893775687,1.0113837135187205,0.16156388664832927,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Correlation,0.5048380718355652,0.7762023918998089,-0.6206121650928488,0.17675332478584072,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceVariance,0.6955559500768791,0.37425382568003396,0.8941495050947758,0.21031313190723355,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.17041969260218304,0.5740787638413064,-1.7521566350863436,0.1341735839121188,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceEntropy,0.819840497667168,0.4252152048212737,0.9471500709514103,0.123906019519422,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Energy,0.695040233029706,0.36868374277248495,0.914712690219582,0.24970252018509975,0.5396713335383885,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.6199974021238908,0.3524711916820632,0.8147568230219613,0.3227177822105722,0.5461377852794298,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.3869326197527609,0.632082208708327,-0.7080298496723593,0.3573386075907694,0.5571951210143593,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Median,0.61882933253306,0.8076332173689501,-0.38415866668564314,0.36932897853374663,0.5571951210143593,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.33053095523167797,0.5464029321594961,-0.7251798347271357,0.3653054707072916,0.5571951210143593,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaEmphasis,0.20221955820801452,0.39224999625842527,-0.9558508953148325,0.36706271830218606,0.5571951210143593,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.1544713203636719,0.34794533189898214,-1.1715216444238334,0.36212796959486554,0.5571951210143593,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.3798792321278427,0.6253318803657464,-0.7190812274033885,0.3571299125036907,0.5571951210143593,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc1,0.6442572610486932,0.40299500773454167,0.6768749250636704,0.3735740015891727,0.5571951210143593,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc2,0.7094108099470428,0.5034382103703682,0.4948065945980777,0.47237508957500507,0.6928167980433408,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.16046984342754844,0.2981113443484054,-0.8935490749214395,0.5327435970546743,0.7561522022711507,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterProminence,0.4748861010379176,0.31502988853760144,0.5920928208784997,0.5324192320590198,0.7561522022711507,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Skewness,0.5474308447640743,0.3897088235942044,0.4902801283837482,0.5451859133080388,0.7615295297001177,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.367035455675472,0.4859793871871176,-0.4049756888874687,0.5746246424782397,0.7901088834075797,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.4652911324786323,0.33498224603044263,0.47404905732107655,0.5923923684154601,0.7936728204649869,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.16995713268263674,0.2888524877173535,-0.7651620103083667,0.5952546153487401,0.7936728204649869,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.5952733945858517,0.4585173721619924,0.37657602012059765,0.625014446357773,0.8209144967087169,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.4306537025615361,0.32395398553795196,0.4107393278554723,0.6625698037564657,0.8574432754495438,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.5532394349951417,0.6556606782180386,-0.24504537936346313,0.6947329860476141,0.8610775038336627,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.4882583780747339,0.5871673518439356,-0.2661269528355084,0.6880119937448159,0.8610775038336627,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MCC,0.2933642493204917,0.3828347844494287,-0.3840288509028537,0.6754302251943827,0.8610775038336627,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.5465337335581943,0.6433642479044905,-0.23532522114999657,0.7057849091972483,0.8626260001299701,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Autocorrelation,0.1917284175776306,0.23829930178313719,-0.3137105383981712,0.8459030340582758,0.9755121078505536,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Maximum,0.5061861526534002,0.4525362718193044,0.16163460914178182,0.8344972244495924,0.9755121078505536,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.19323984342025774,0.23750796553921533,-0.29758331045744335,0.8535730943692345,0.9755121078505536,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.37372766355695025,0.33011425223047575,0.17902193057990246,0.8491388224320475,0.9755121078505536,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.5721833006730579,0.525392117530177,0.12308283697651948,0.8317055939608433,0.9755121078505536,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.1987361531222568,0.23945643379139447,-0.2689088542982162,0.8651835474548988,0.9761045150773218,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.23174127420152235,0.24897820518117775,-0.1035044407440525,0.9423783303445429,0.9926251995915364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.5625116164963748,0.5888720399359253,-0.06607128505330752,0.9099151598565449,0.9926251995915364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.2666831039843142,0.24748503959443177,0.10778510688347052,0.9366980250063499,0.9926251995915364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterShade,0.6465666990505048,0.6381236744637139,0.018963145245270135,0.97277834708502,0.9926251995915364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.2976421086248547,0.26685067004728014,0.1575460108900534,0.89749155962146,0.9926251995915364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumAverage,0.24730004782559564,0.25206770974231496,-0.0275487998677631,0.9844248131777621,0.9926251995915364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformity,0.5890530020501612,0.5916206622506535,-0.006274987898639598,0.9926251995915364,0.9926251995915364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Range,0.30994155656708683,0.3137127090861361,-0.017447774031533282,0.9875879337768294,0.9926251995915364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointAverage,0.24730004782559575,0.2520677097423149,-0.02754879986776212,0.9844248131777626,0.9926251995915364,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_Minimum,0.7106658430043044,0.6870573048637609,0.04874092635445784,0.9186902115419415,0.9926251995915364,r_amygdala,male_P45_nrxn,male_P45_control
