,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.517547386452465,0.32631699719127666,0.6654168248494983,0.3586523315383893,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceNonUniformity,0.581093566008837,0.44288152850452034,0.39184965369684394,0.4998710503510998,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_DependenceEntropy,0.38653474965446133,0.4942498136388185,-0.3546423030356808,0.6243472132527506,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MCC,0.1938117527188825,0.49315531069005925,-1.3473860116398273,0.20890635293613594,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_MaximumProbability,0.4298023770023426,0.6156018710521546,-0.5183241550343961,0.34118268066741897,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glcm_SumAverage,0.3750233033778834,0.5498543795363753,-0.5520693483901782,0.4482148413916527,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_ZonePercentage,0.4786585365853657,0.31463414634146336,0.605321588355735,0.48466951899146105,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.4477861146738654,0.5735038845896983,-0.35699346568091567,0.638313710769902,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,0.3238740797099667,0.49364074071776276,-0.6080284556375445,0.46759271766980215,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunEmphasis,0.46749492975593343,0.591026729833782,-0.3382726610977392,0.5512340698393686,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.22958647057037906,0.4147558933344608,-0.853224853682055,0.39943966146792387,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.3987612001826766,0.21680292490986117,0.87914082069641,0.4468156100999139,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.4483300183369114,0.2584350517255493,0.7947593425248941,0.38772021205151036,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunEntropy,0.28705734913546666,0.47511317915315876,-0.7269322347634359,0.36315522987767906,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformity,0.4935870267554371,0.36380345610710363,0.4401452272092013,0.5476324222237892,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.4970580491933384,0.37696854593993245,0.39897019675857276,0.5804583442854502,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunPercentage,0.5144364399568893,0.37649327812127725,0.4503687317991451,0.5139894779031109,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_RunVariance,0.4697842549560436,0.5975018052187322,-0.3469447103357915,0.537038283583076,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunEmphasis,0.503045404679775,0.38971270028151556,0.3682776749744475,0.6060412851152948,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.37493211938416887,0.5352494584798679,-0.5135820084525634,0.5179480307064481,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.46879911551783526,0.27628103663444525,0.7628333059231353,0.36872021870602373,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformity,0.691252556327627,0.2999578734594929,1.2044530099422488,0.05626592226178597,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.7931355281852381,0.5400164435270156,0.5545640715251834,0.25994257284349753,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_GrayLevelVariance,0.26268571034087124,0.5391740808517248,-1.0374134225943197,0.23775741991537644,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,0.29647895168484517,0.47196762043246976,-0.6707582009044161,0.44400889401676347,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.10936810293200606,0.33032967304434535,-1.5947145313829765,0.3199176313673577,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.34204245326410154,0.19220316891979314,0.8315432766070197,0.5287213386300869,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.39712028297705726,0.22744361021310383,0.8040671443938041,0.4347582635690629,0.9234382021649993,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
