,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.4152278243698636,0.6947256966338585,-0.74254033920323,0.2323951938125349,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEnergy,0.41441955255290486,0.7065788302547983,-0.7697584536066038,0.17389018851799076,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_JointEntropy,0.6033152485121227,0.3192260629196973,0.9183336023860923,0.18995376507780767,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_MaximumProbability,0.4197012740169298,0.8007523359974179,-0.9319932591346067,0.10384437163353309,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumSquares,0.5829532420595216,0.3093992086690126,0.9139106644252118,0.22846175973972493,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.6236421982816002,0.33112130316192345,0.9133587186497492,0.22417759991909206,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.44793095186711107,0.7306539520536732,-0.7059119280076828,0.1574263479676212,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.22303972769618338,0.5779058830965453,-1.373533851691856,0.1367141523798073,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.3499539405651735,0.6423535876732689,-0.8762026035570023,0.23675903169908977,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.5304833872074021,0.2363947446011327,1.166109609270395,0.16179926176878,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.5308589634071377,0.24814398453420647,1.0971511407154262,0.17855248940093285,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.5414829106945975,0.24673526889623876,1.1339518543537292,0.15429720786990844,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.45607001852762685,0.7504494467996563,-0.7184995572109152,0.1380092248869315,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.5363279182611613,0.2614266716520287,1.0367090166567086,0.19134006505336415,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.26780561030598937,0.5808281751741086,-1.1169252539323784,0.20454449483946352,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.28155509606957857,0.6357644954184386,-1.1750751872013776,0.1755115921552406,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.2646723067614274,0.5490260986590763,-1.0526674808048897,0.19715511045872725,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_ZoneEntropy,0.6716265016161511,0.3617329435764788,0.892734166062863,0.20143936388665487,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.5864171490245713,0.3284725949623777,0.8361542848503533,0.22312136922362746,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformity,0.4908814146554463,0.23481966215187988,1.0638213309442983,0.22028528429031013,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.4908814146554459,0.23481966215187952,1.0638213309442992,0.22028528429031088,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceVariance,0.5238312802432283,0.7767072166580089,-0.5682686587507718,0.2238150865124698,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelNonUniformity,0.4256932522095247,0.7313802281884543,-0.780807404310707,0.15805310637991976,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_GrayLevelVariance,0.5335046927959821,0.2586774570503163,1.0443466282532252,0.21564258251590168,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.4609049866459983,0.7554830396769374,-0.7129299911313808,0.15044982107831847,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.22608413707748104,0.5819548882281064,-1.3640475524752642,0.13579393374565485,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc2,0.7132993362990219,0.3707212978799294,0.9441726310429948,0.12307350476719726,0.4340582247816646,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
