,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_firstorder_10Percentile,0.4429583624335745,0.06998895631372908,2.6619718938901147,0.06453638551511033,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.7097603864411652,0.43926017334952727,0.6922563563990997,0.37319374866720456,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaEmphasis,0.49153585967068114,0.4805694245586247,0.03255180897736304,0.9678124264240558,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.5562733139246985,0.3058011263983114,0.8632001761249539,0.25320094614245275,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelVariance,0.4913258119703444,0.4167145595803234,0.2376205263499588,0.7178482993998585,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.543383225040968,0.5344611046043314,0.023885068678141243,0.9649019986957934,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.3129207901989352,0.2982467922945092,0.0692908917079181,0.9572648993158985,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.3392040991168997,0.3901849926704749,-0.2020046856746127,0.8191645219749366,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.4977146976780622,0.2652632877608496,0.9078939694254508,0.29364446595240495,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.35516183759141906,0.28616654369923755,0.31162155776855,0.7611066924066792,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.38394390143132995,0.41076672094252553,-0.09742377147305235,0.9153448052965982,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.38005260243632266,0.3980897009966782,-0.0668944345084965,0.9420761356070715,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.38011181085953827,0.3984685697569363,-0.06804207897332683,0.9417264846787226,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.37164371524451634,0.3828257558012321,-0.04276768367553049,0.9644775556879776,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.38908025433533,0.2744330731041053,0.5036134086402247,0.6118837131769153,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.3444271940069845,0.37947934349946943,-0.13982230220841663,0.8749853488196043,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.3618353879772679,0.3551355484183093,0.02696373361383622,0.9761364082116617,0.9990592811151722,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
