,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.27060884099295013,0.811848640842382,-1.585001805789984,0.007368923425941135,0.06449864470958398,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Id,0.2761394067398655,0.7958435708478412,-1.527088102067008,0.013377936152147822,0.06449864470958398,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_Idm,0.28760149892823783,0.8128779329985484,-1.4989675292895113,0.014060046183809492,0.06449864470958398,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEnergy,0.31929180116112077,0.8693370215516613,-1.445040076903695,0.01763644660529803,0.06449864470958398,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_JointEntropy,0.6797245891086936,0.1614851846529694,2.0735485014762975,0.019262545837533094,0.06449864470958398,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glcm_MaximumProbability,0.26882117200192246,0.7746535187265543,-1.5269044093714739,0.013488492774103186,0.06449864470958398,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunEmphasis,0.22350504670560634,0.7260181788596443,-1.6996982649113135,0.011422016005108638,0.06449864470958398,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformity,0.750854096207815,0.23045789878080464,1.704029378783846,0.011894727378787606,0.06449864470958398,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.7377377976772554,0.21264839257550783,1.7946382038363806,0.012312569316853443,0.06449864470958398,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunPercentage,0.7564636945753311,0.24520961701099536,1.6252552819686847,0.011742898162968307,0.06449864470958398,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunVariance,0.18998071739719702,0.6699549079729346,-1.818211000933467,0.012763764195082055,0.06449864470958398,r_hippocampus,male_P45_nrxn,male_P45_control
