,binWidth_0_075_ODI_male_P45_nrxn,binWidth_0_075_ODI_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.2667086646430127,0.6031852490327763,-1.1773364528493626,0.11186098104745297,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MaximumProbability,0.36639565913296157,0.7025425366799469,-0.9391831672715405,0.09424141452616923,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumAverage,0.5007393459428038,0.15050385556381723,1.7342593746444783,0.07780550135310488,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,0.44337402307683305,0.11126905367785662,1.9944718424730936,0.10201962084723029,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunEmphasis,0.3684030135740972,0.7667778053905383,-1.0575237155078636,0.06419177465381361,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.4465066266654085,0.11825545351580687,1.9167748697376323,0.11317761539383274,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.26193598230042725,0.660251780298618,-1.333802029300153,0.04712649872115591,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.301003525453762,0.6921401210611591,-1.201283750990112,0.06159489604272182,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.5786005204208609,0.23206245050344948,1.3180545185287855,0.11514303153949837,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunVariance,0.3183999009047993,0.7419596157203359,-1.2205007773505676,0.03518726373958043,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunHighGrayLevelEmphasis,0.44315905276254586,0.11228400581300982,1.9806721456000314,0.1011314413276817,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Autocorrelation,0.4434777140426476,0.1091548102764434,2.022485898037838,0.1005020635872504,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.3090465730867259,0.6905704310342349,-1.1599642943709487,0.0678803152635298,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointAverage,0.5007393459428037,0.1505038555638169,1.734259374644481,0.07780550135310484,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glszm_GrayLevelNonUniformity,0.8254175141525769,0.3438213466570633,1.2634649310956478,0.059186530150330555,0.35660710907594767,r_hippocampus,male_P45_nrxn,male_P45_control
